UID,Title,Authors,Year,Venue,DOI,Abstract,Keywords,Document_Type,Scopus,ScienceDirect,Elicit,Query_Hits,Master_ID,Document_Class,Stock_Domain,Eligible_Target,AI_ML_DL,Empirical_Evaluation,Strong_Stock_Target_Context,Adjacent_Target_Context,NonStock_Domain_Context,Direct_Core_Evidence,Strategic_Theme_Count,Relevance_Score,Working_Relevance_Tier,Research_Use,Elicit_Priority,Gap_Dimensions_Evidenced,Stock_Evidence,Target_Evidence,AI_Evidence,Empirical_Evidence,Stock_Target_Sentence_Evidence,Adjacent_Evidence,NonStock_Evidence,Historical_Data,Technical_Indicators,Fundamental_Data,Financial_News,Social_Media,Sentiment,FinBERT_BERT_RoBERTa,LLM_FinGPT,Multimodal,Fusion,Transformer_Attention,LSTM_GRU,Optimization,Metaheuristic,XAI,Temporal_Validation,Indian_Market,Multi_Stock,Historical_Data_Evidence,Technical_Indicators_Evidence,Fundamental_Data_Evidence,Financial_News_Evidence,Social_Media_Evidence,Sentiment_Evidence,FinBERT_BERT_RoBERTa_Evidence,LLM_FinGPT_Evidence,Multimodal_Evidence,Fusion_Evidence,Transformer_Attention_Evidence,LSTM_GRU_Evidence,Optimization_Evidence,Metaheuristic_Evidence,XAI_Evidence,Temporal_Validation_Evidence,Indian_Market_Evidence,Multi_Stock_Evidence
doi:10.1007/s12197-026-09761-1,A multimodal deep learning framework for stock direction prediction with granger-based predictive explainability,Shakeel M.R.; Yadav S.; Piyush; Ahmad M.,2026,Journal of Economics and Finance,10.1007/s12197-026-09761-1,"Predicting stock price movements remains challenging due to the noisy, nonlinear, and multimodal nature of financial markets. While existing studies combine technical indicators with news sentiment, they often lack transparency and fail to uncover temporal predictive relationships across modalities. This paper proposes a predictively explainable multimodal forecasting framework that integrates structured price-based features and unstructured financial news using FinBERT embeddings within a recurrent neural network. A dual explainability scheme is employed: Integrated Gradients for feature attribution and Neural Granger causality to reveal temporally ordered predictive relationships. Using 17 years of Nifty 50 data (2003–2019) aligned with 73,500 financial news headlines, the model is evaluated under a strict rolling-origin time-series cross-validation protocol to prevent data leakage. Results demonstrate superior predictive accuracy, significantly outperforming a comprehensive set of statistical, machine-learning, and financial benchmark models, with significance validated via the White Reality Check. An ablation study confirms news embeddings as the dominant predictive modality. Granger-based analysis further reveals that specific semantic dimensions systematically predict future returns and volatility. A transaction-cost-aware trading simulation confirms the model’s economic relevance, yielding economically meaningful risk-adjusted performance. The study presents a scalable, interpretable, and robust framework for financial forecasting, offering insights for both academic research and real-world decision-support systems. © The Author(s), under exclusive licence to Academy of Economics and Finance 2026.",Explainable Artificial Intelligence (XAI); Financial news sentiment; FinBERT; Granger causality; Multimodal financial prediction; Time series prediction,Article,Yes,No,No,SC01; SC02; SC05; SC06,M-0282,Primary/Other,Yes,Price; Direction/Movement,Yes,Yes,Yes,No,,Yes,8,32,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,High,Technical_Indicators; Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; XAI; Temporal_Validation; Indian_Market,nifty; nifty 50; stock direction; stock price,direction prediction; price movements; stock price,artificial intelligence; deep learning; finbert; neural network; recurrent neural,accuracy; benchmark; evaluated; results demonstrate,"A multimodal deep learning framework for stock direction prediction with granger-based predictive explainability || Predicting stock price movements remains challenging due to the noisy, nonlinear, and multimodal nature of financial markets.",,,Yes,Yes,Unclear,Yes,Unclear,Yes,Yes,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Yes,Yes,Unclear,time series,technical indicators,,financial news; news headlines,,sentiment,finbert,,multimodal,,,recurrent neural,,,explainability; explainable; interpretable; xai,time-series cross-validation,nifty; nifty 50,
doi:10.1007/s10614-026-11314-x,Intelligent Stock Price Prediction Model Research Integrating Multimodal Information and KAN Networks,Sun W.; Yuan C.; You S.; Liu Z.; Chen Y.; Cui W.,2026,Computational Economics,10.1007/s10614-026-11314-x,"Stock price prediction represents a core challenge in financial engineering, where traditional methods often rely on single data sources and struggle to capture complex market dynamics. This study proposes an intelligent stock price prediction model that integrates multimodal information and Kolmogorov-Arnold Networks (KAN), constructing an attention mechanism-based feature fusion framework by incorporating historical stock price data, financial news texts, and social media sentiment from multiple sources. The model employs LSTM networks to process numerical time-series features, utilizes BERT models to extract textual semantic information, achieves intelligent feature fusion through multi-head attention mechanisms, and introduces KAN networks as the output layer for stock price prediction tasks for the first time. Based on empirical data from NVIDIA Corporation spanning 2020-2025, comparative experiments with traditional and state-of-the-art baseline models demonstrate that the proposed model achieves significant improvements over the best baseline model Informer: 33.2% improvement in RMSE (from 2.26 to 1.51), 35.6% improvement in MAE (from 1.74 to 1.12), 40.9% improvement in MAPE (from 0.88% to 0.52%), 4.4% improvement in R (from 0.924 to 0.965), and 7.0% improvement in directional prediction accuracy (from 82.8% to 88.6%). Ablation experiments validate the effectiveness of multimodal data fusion, attention mechanisms, and KAN networks, with multimodal data fusion contributing most significantly to performance enhancement. Attention visualization analysis demonstrates the model’s excellent interpretability, capable of accurately identifying key market events. The research results provide new technical pathways for financial time series prediction, holding important theoretical value and practical application prospects. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2026.",Attention mechanism; BERT; Deep learning; Financial time series; Interpretability; KAN networks; LSTM; Multimodal learning; Sentiment analysis; Stock price prediction,Article,Yes,No,No,SC01; SC05,M-0210,Primary/Other,Yes,Price; Direction/Movement,Yes,Yes,Yes,Yes,,Yes,7,30,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,High,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Fusion; Transformer_Attention; XAI,stock price,directional prediction; price prediction; stock price,attention; bert; deep learning; lstm,accuracy; comparative; experiments; mae; mape; rmse,"Intelligent Stock Price Prediction Model Research Integrating Multimodal Information and KAN Networks || Stock price prediction represents a core challenge in financial engineering, where traditional methods often rely on single data sources and struggle to capture complex market dynamics. || This study proposes an intelligent stock price prediction model that integrates multimodal information and Kolmogorov-Arnold Networks (KAN), constructing an attention mechanism-based feature fusion framework by incorporating historical stock price data, financial news texts, and social media sentiment from multiple sources. || The model employs LSTM networks to process numerical time-series features, utilizes BERT models to extract textual semantic information, achieves intelligent feature fusion through multi-head attention mechanisms, and introduces KAN networks as the output layer for stock price prediction tasks for the first time.",sentiment analysis,,Yes,Unclear,Unclear,Yes,Yes,Yes,Yes,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,time series,,,financial news,social media,sentiment,bert,,multimodal,data fusion; feature fusion; fusion,attention mechanism; informer,lstm,,,attention visualization; interpretability,,,
doi:10.70917/ijcisim-2026-2611,Sentiment-Weighted Fusion of Financial News and Technical Indicators for Short-Horizon Equity Trend Classification: An Evidence-Informed Research Framework,Chourasia P.; Rajavat Y.S.,2026,International Journal of Computer Information Systems and Industrial Management Applications,10.70917/ijcisim-2026-2611,"Short-horizon equity trend prediction remains difficult because price formation reflects both historical market behaviour and rapidly changing information flows. Technical indicators condense past open-high-low-close-volume data into interpretable measures of trend, momentum, volatility and participation. At the same time, financial news sentiment captures the market relevance of textual disclosures, macroeconomic updates and company-specific events. This paper develops a sentiment-weighted fusion framework that combines transformer-derived financial news sentiment with selected technical indicators for next-day equity trend classification. The proposed design uses a finance-domain transformer, such as FinBERT, to transform news headlines or short articles into positive, negative and neutral sentiment probabilities; these outputs are then aggregated by trading date and merged with engineered indicators including moving averages, relative strength index, moving average convergence divergence, Bollinger Bands, daily return, volume change and historical volatility. Instead of presenting unverified or simulated accuracy values, the manuscript positions the contribution as an evidence-informed methodological framework supported by established studies on public mood, LSTM-based market forecasting, transformer-based sentiment classification and hybrid sentiment-technical prediction. The paper specifies the research gap, hypotheses, input variables, feature construction, validation design, evaluation metrics and reproducibility requirements for future empirical implementation. The framework is intended to support a narrower publishable subset of a broader multimodal financial market prediction research agenda while maintaining transparency about the need for original dataset validation before final performance claims are made. © 2026 by the authors.",feature fusion; financial forecasting; financial news sentiment; FinBERT; machine learning; stock trend classification; technical indicators; transformer model,Article,Yes,No,No,SC01,M-2731,Primary/Other,Yes,Trend,Yes,Yes,No,Yes,,Yes,8,30,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,High,Technical_Indicators; Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Fusion; Transformer_Attention; XAI,stock trend,stock trend; trend prediction,finbert; lstm; machine learning; transformer,accuracy; dataset; evaluation,,sentiment classification,,Yes,Yes,Unclear,Yes,Unclear,Yes,Yes,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,open-high-low-close; volume,bollinger; moving average; moving averages; relative strength index; technical indicators,,financial news; news headlines,,sentiment,finbert,,multimodal,feature fusion; fusion,transformer,lstm,,,interpretable,,,
doi:10.1007/s41060-025-00983-w,SentiVol-GA: a volatility-scaled genetic fusion of predictive models and financial sentiment for adaptive stock forecasting,Singh M.; Tunga H.; Kar S.,2026,International Journal of Data Science and Analytics,10.1007/s41060-025-00983-w,"SentiVol-GA is an evolvable hybrid framework for stock price forecasting. This model integrates statistical models, deep learning architectures, financial sentiment analysis, and volatility-aware optimization through a Genetic Algorithm (GA). This framework combines five predictive models—Linear Regression, LSTM, GRU, Bi-LSTM, and ARIMA—with sentiment signals extracted from FinBERT, VADER, and the Loughran–McDonald dictionary. Its core innovation lies in a volatility-scaling mechanism that adjusts sentiment impact during turbulent periods, while the GA periodically optimizes model and sentiment weights to minimize forecasting error thus sustaining the model’s predictive stability. This empirical evaluation across eight Indian IT-sector stocks—covering large, mid- and small-cap segments, demonstrates up to 12% improvement in R2, 30–60% reduction in RMSE, and 20–35% gain in tolerance-based accuracy over classical and deep-learning baselines. Nonparametric Friedman and Wilcoxon tests (p < 0.05) confirm that these performance gains are statistically significant. SentiVol-GA offers a volatility-aware, sentiment-driven, and dynamically optimized approach that is scalable, interpretable, and robust for intelligent financial decision-making. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2025.",Adaptive stock forecasting; Deep learning; Financial time series; Genetic algorithm; Sentiment analysis; SentiVol-GA; Volatility scaling; Autoregressive moving average model; Decision making; Economic analysis; Electronic trading; Financial markets; Forecasting; Learning algorithms; Prediction models; Time series analysis; Adaptive stock forecasting; Deep learning; Evolvable; Financial time series; Predictive models; Scalings; Sentiment analysis; Sentivol-genetic algorithm; Stock forecasting; Volatility scaling; Deep learning; Genetic algorithms; Sentiment analysis,Article,Yes,No,No,SC01; SC04; SC05,M-0328,Primary/Other,Yes,Price,Yes,Yes,Yes,Yes,,Yes,7,30,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,High,Technical_Indicators; Sentiment; FinBERT_BERT_RoBERTa; Fusion; Optimization; Metaheuristic; XAI,stock forecasting; stock price,price forecasting; stock price,deep learning; finbert; gru; lstm,accuracy; evaluation; r2; rmse,SentiVol-GA: a volatility-scaled genetic fusion of predictive models and financial sentiment for adaptive stock forecasting || SentiVol-GA is an evolvable hybrid framework for stock price forecasting.,sentiment analysis,,Yes,Yes,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Yes,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,time series,moving average,,,,sentiment,finbert,,,fusion,,bi-lstm; gru; lstm,optimized,genetic algorithm,interpretable,,,
doi:10.1109/access.2025.3645089,An Adaptive Modality Fusion Network for Stock Trend Prediction,Bentaleb K.; Ben Houad M.; Mestari M.,2025,IEEE Access,10.1109/access.2025.3645089,"Financial markets are increasingly shaped by structured indicators and unstructured news flows, making trend prediction a multimodal challenge under uncertainty. This paper introduces the Adaptive Modality Fusion Network (AMFNet), a deep learning architecture that integrates technical indicators with document-level sentiment extracted from multiple language models through a structured sentiment matrix, a Transformer encoder, and an uncertainty-aware fusion mechanism. We evaluate AMFNet on a ten-year dataset covering twelve U.S. large-cap equities and three emerging-market American Depositary Receipts (ADRs). Results show that AMFNet surpasses recent multimodal baselines in ternary trend classification, achieving an F1-score of 86.8% on 2023–2024 out-of-sample tests. Portfolio backtests, with and without transaction costs, confirm that predictive accuracy translates into profitability and risk-adjusted returns. Stress tests during the COVID-19 crash and the 2022 inflationary crisis demonstrate resilience under extreme shocks, while ADR results indicate cross-market portability. Attention-based weights provide interpretability by revealing dynamic shifts between sentiment and technical indicators. Altogether, AMFNet delivers accuracy, robustness, and transparency, offering a practical framework for forecasting and risk management. © 2013 IEEE.",Multimodal fusion; sentiment analysis; stock trend prediction; technical indicators; transformer networks; Commerce; Deep learning; Electronic trading; Financial markets; Forecasting; Indicators (instruments); Investments; Large datasets; Learning systems; Risk management; American Depositary Receipt; Modality Fusion; Multi-modal; Multi-modal fusion; Sentiment analysis; Stock trend prediction; Technical indicator; Transformer network; Trend prediction; Uncertainty; Sentiment analysis,Article,Yes,No,Yes,EL04; EL06; SC01,M-1720,Primary/Other,Yes,Trend,Yes,Yes,Yes,Yes,,Yes,8,30,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,High,Technical_Indicators; Sentiment; Multimodal; Fusion; Transformer_Attention; XAI; Temporal_Validation; Multi_Stock,stock trend,stock trend; trend prediction,attention; deep learning; transformer,accuracy; dataset; datasets; evaluate; f1; results show,An Adaptive Modality Fusion Network for Stock Trend Prediction,sentiment analysis,,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Yes,,technical indicator; technical indicators,,,,sentiment,,,multi-modal; multimodal,fusion,transformer,,,,interpretability,out-of-sample,,cross-market
doi:10.1007/s43069-026-00603-8,Explainable Multi-source AI Framework for Real-Time Stock Price Monitoring and Prediction,Patil M.; Patil J.M.; Shahade A.K.; Deshmukh P.V.,2026,Operations Research Forum,10.1007/s43069-026-00603-8,"India’s real-time forecasting of stock prices is hindered by heterogeneous data sources, volatility in markets, and regulatory demands for transparency in algorithmic trading. This research proposes a systematic, interpretable multi-source artificial intelligence (AI) framework for tracking and predicting stock prices on the NSE and BSE. The model brings together market technical indicators, macroeconomic variables, and sentiment factors into one prediction pipeline through a hybrid ensemble of temporal fusion transformers (TFTs), long short-term memory (LSTM) networks, random forests (RFs), and extreme gradient boosting (XGBoost). Deep learning models capture temporal relationships, while tree-based methods provide structural stability. Explainability is ensured through SHapley Additive exPlanations (SHAP), Local Interpretable Model-Agnostic Explanations (LIME), and counterfactual analysis, allowing for transparent decision-making as per SEBI guidelines. Results on multi-year NSE/BSE data (2015–2024) show a 39.8% RMSE reduction and a 9.62% increase in directional accuracy relative to baselines employing conventional and single-model methods. Ablation studies discover that macroeconomic and sentiment data significantly enhance short- and medium-term forecasting accuracy, particularly during event-driven volatility. The results highlight the promise of the framework in enabling low-latency, explainable, and regulation-compliant prediction, enabling algorithmic trading, compliance with policy, and enhanced decision-making. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2026.",Explainable AI (XAI); Financial sentiment; Multi-source data fusion; NSE/BSE; SEBI compliance; Stock price prediction; Temporal fusion transformer (TFT),Article,Yes,No,No,SC01; SC02; SC05,M-0366,Primary/Other,Yes,Price,Yes,Yes,Yes,Yes,,Yes,7,29,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,High,Technical_Indicators; Sentiment; Multimodal; Fusion; Transformer_Attention; XAI; Indian_Market,stock price; stock prices,price prediction; stock price; stock prices,artificial intelligence; deep learning; gradient boosting; lstm; transformer; xgboost,accuracy; rmse,"Explainable Multi-source AI Framework for Real-Time Stock Price Monitoring and Prediction || India’s real-time forecasting of stock prices is hindered by heterogeneous data sources, volatility in markets, and regulatory demands for transparency in algorithmic trading. || This research proposes a systematic, interpretable multi-source artificial intelligence (AI) framework for tracking and predicting stock prices on the NSE and BSE.",algorithmic trading,,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Yes,Unclear,Yes,Unclear,,technical indicators,,,,sentiment,,,heterogeneous data; multi-source,data fusion; fusion,temporal fusion transformer; transformer,long short-term memory; lstm,,,explainability; explainable; interpretable; lime; shap; xai,,bse; india; nse,
doi:10.1007/s10614-024-10811-1,MoF: A Background-Aware Multi-source Fusion Financial Trend Forecasting Mechanism,Mo F.; Yan S.; Xiao Y.,2025,Computational Economics,10.1007/s10614-024-10811-1,"With the rapid growth of economic globalization and digital economics, accurately predicting stock price fluctuations has become crucial yet challenging due to high volatility and market noise. Existing forecasting methods, relying primarily on time-series data, technical indicators, and sentiment analysis, often fail to capture the semantic depth of background knowledge, particularly the influence of real-time events. To address this limitation, we propose MoF, a background-aware multi-source fusion mechanism for financial trend forecasting. MoF integrates stock price data with background knowledge on the impact of real-time events on stock trends, which includes key information from policy documents and stock commentaries, and subsequently leverages the MacBERT model to generate feature vectors for stock prediction. Our results show that MoF, by incorporating the influence of real-time events, improves accuracy and interpretability in stock trend forecasting, surpassing LSTM-based models with over 90% accuracy in predicting market fluctuations and providing reliable directional predictions. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",Background-aware; Financial trend; LLM; Macbert,Article,Yes,No,No,SC01; SC02; SC05,M-0171,Primary/Other,Yes,Price; Trend,Yes,Yes,Yes,Yes,,Yes,6,29,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,High,Technical_Indicators; Sentiment; LLM_FinGPT; Multimodal; Fusion; XAI,stock prediction; stock price; stock trend; stock trends,stock price; stock trend; stock trends; trend forecasting,llm; lstm,accuracy; results show,"With the rapid growth of economic globalization and digital economics, accurately predicting stock price fluctuations has become crucial yet challenging due to high volatility and market noise. || MoF integrates stock price data with background knowledge on the impact of real-time events on stock trends, which includes key information from policy documents and stock commentaries, and subsequently leverages the MacBERT model to generate feature vectors for stock prediction. || Our results show that MoF, by incorporating the influence of real-time events, improves accuracy and interpretability in stock trend forecasting, surpassing LSTM-based models with over 90% accuracy in predicting market fluctuations and providing reliable directional predictions. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",sentiment analysis,,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Yes,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,,technical indicators,,,,sentiment,,llm,multi-source,fusion,,lstm,,,interpretability,,,
doi:10.1080/23322039.2026.2653292,"Expected price framework for Indian equities: a Random Forest model using behavioural, structural, and fundamental data",Natarajan V.K.; Akbar M.A.; Aloumi D.; Khudhur A.A.,2026,Cogent Economics and Finance,10.1080/23322039.2026.2653292,"The article examines equity price deviations in India by integrating behavioural, structural, and firm fundamentals within a Random Forest (RF) expected-price framework. Traditional valuation approaches such as discounted cash flow (DCF) and linear regression often struggle to capture nonlinear distortions, particularly in emerging markets where retail sentiment, social media activity, and structural factors play a decisive role. To address this gap, we construct a representative dataset covering 2005–2024 that combine firm-level fundamentals (EPS, ROE, EBITDA margin), structural attributes (promoter holdings, split history), behavioural indicators (Google Trends, sentiment scores), and market factors (volatility, FII/DII flows, and trading volume). The RF model is trained under an annual rolling-window design and optimized through grid search to ensure robustness across different market regimes. Predictive performance is evaluated using standard error metrics (RMSE, MAE, and directional accuracy), while interpretability is enhanced through SHAP values and scenario-based analysis. Price deviation is defined as the difference between the observed market price and the RF-estimated expected price benchmark, where positive values indicate relative overpricing and negative values indicate relative under-pricing against the model benchmark. The results show that firms with weaker fundamentals and elevated retail attention tend to exhibit larger expected-price deviations, while periods of heightened market stress are associated with more pronounced negative deviations among mid-cap stocks. Overall, the study proposes a transparent and replicable expected-price framework that integrates behavioural finance insights with machine learning, offering practical relevance for investors and regulators. It enriches equity price literature in emerging markets and underscores integrating non-linear drivers into valuation. © 2026 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",behavioural finance; Expected price modelling; indian equities; investor attention; random forest; sentiment analysis,Article,Yes,No,No,SC01; SC03,M-1593,Primary/Other,Yes,Price,Yes,Yes,Yes,Yes,,Yes,6,27,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,High,Fundamental_Data; Sentiment; Optimization; XAI; Temporal_Validation; Indian_Market,equity price,equity price,attention; machine learning; random forest,accuracy; benchmark; dataset; evaluated; mae; results show; rmse,"The article examines equity price deviations in India by integrating behavioural, structural, and firm fundamentals within a Random Forest (RF) expected-price framework. || It enriches equity price literature in emerging markets and underscores integrating non-linear drivers into valuation. © 2026 The Author(s).",sentiment analysis,,Yes,Unclear,Yes,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Yes,Unclear,trading volume; volume,,cash flow; eps; roe,,social media,sentiment; sentiment scores,,,,,,,grid search; optimized,,interpretability; shap,rolling-window,india,
doi:10.3390/math13172747,Stock Price Prediction Using FinBERT-Enhanced Sentiment with SHAP Explainability and Differential Privacy,Ruan L.; Jiang H.,2025,Mathematics,10.3390/math13172747,"Stock price forecasting remains a central challenge in financial modeling due to the non-stationarity, noise, and high dimensionality of market dynamics, as well as the growing importance of unstructured textual information. In this work, we propose a multimodal prediction framework that combines FinBERT-based financial sentiment extraction with technical and statistical indicators to forecast short-term stock price movement. Contextual sentiment signals are derived from financial news headlines using FinBERT, a domain-specific transformer model fine-tuned on annotated financial text. These signals are aggregated and fused with price- and volatility-based features, forming the input to a gradient-boosted decision tree classifier (XGBoost). To ensure interpretability, we employ SHAP (SHapley Additive exPlanations), which decomposes each prediction into additive feature attributions while satisfying game-theoretic fairness axioms. In addition, we integrate differential privacy into the training pipeline to ensure robustness against membership inference attacks and protect proprietary or client-sensitive data. Empirical evaluations across multiple S&P 500 equities from 2018–2023 demonstrate that our FinBERT-enhanced model consistently outperforms both technical-only and lexicon-based sentiment baselines in terms of AUC, F1-score, and simulated trading profitability. SHAP analysis confirms that FinBERT-derived features rank among the most influential predictors. Our findings highlight the complementary value of domain-specific NLP and privacy-preserving machine learning in financial forecasting, offering a principled, interpretable, and deployable solution for real-world quantitative finance applications. © 2025 by the authors.",machine lrarning; privacy protection; stock prediction,Article,Yes,No,Yes,EL03; SC01; SC05,M-2487,Primary/Other,Yes,Price; Direction/Movement,Yes,Yes,Yes,No,,Yes,6,27,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,High,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Transformer_Attention; XAI,s&p 500; stock prediction; stock price,price forecasting; price movement; price prediction; stock price,finbert; machine learning; transformer; xgboost,auc; f1; outperforms; training,"Stock Price Prediction Using FinBERT-Enhanced Sentiment with SHAP Explainability and Differential Privacy || Stock price forecasting remains a central challenge in financial modeling due to the non-stationarity, noise, and high dimensionality of market dynamics, as well as the growing importance of unstructured textual information. || In this work, we propose a multimodal prediction framework that combines FinBERT-based financial sentiment extraction with technical and statistical indicators to forecast short-term stock price movement.",,,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,,,,financial news; news headlines,,sentiment,finbert,,multimodal,,transformer,,,,explainability; interpretability; interpretable; shap,,,
doi:10.3390/electronics14061090,Comparative Investigation of GPT and FinBERT’s Sentiment Analysis Performance in News Across Different Sectors,Kang J.-W.; Choi S.-Y.,2025,Electronics (Switzerland),10.3390/electronics14061090,"GPT (Generative Pre-trained Transformer) is a groundbreaking generative model that has facilitated substantial progress in natural language processing (NLP). As the GPT-n series has continued to evolve, its applications have garnered considerable attention across various industries, particularly in finance. In contrast, traditional financial research has primarily focused on analyzing structured data such as stock prices. However, recent trends highlight the growing importance of natural language techniques that address unstructured factors like investor sentiment and the impact of news. Positive or negative information about specific companies, industries, or the overall economy found in news or social media can influence investor behavior and market volatility, highlighting the critical need for robust sentiment analysis. In this context, we utilize the state-of-the-art language model GPT and the finance-specific sentiment analysis model FinBERT to perform sentiment and time-series analyses on financial news data, comparing the performance of the two models to demonstrate the potential of GPT. Furthermore, by examining the relationship between sentiment shifts in financial markets and news events, we aim to provide actionable insights for investment decision-making, emphasizing both the performance and interpretability of the models. To enhance the performance of GPT-4o, we employed a systematic approach to prompt design and optimization. This process involved iterative refinement, guided by insights derived from a labeled dataset. This approach emphasized the pivotal importance of prompt design in improving model accuracy, resulting in GPT-4o achieving higher performance than FinBERT. During the experiment phase, sentiment scores were generated from New York Times news data and visualized through time-series graphs for both models. Although both models exhibited similar trends, significant differences arose depending on news content characteristics across categories. According to the results, the performance of GPT-4o, optimized through prompt engineering, outperformed that of FinBERT by up to 10% depending on the sector. These findings emphasize the importance of prompt engineering and demonstrate GPT-4o’s potential to improve sentiment analysis. Furthermore, the categorized news data approach suggests potential applications in predicting the outlook of categorized financial products. © 2025 by the authors.",FinBERT; GPT; prompt design; sentiment analysis; The New York Times,Article,Yes,No,No,SC01; SC05,M-2384,Primary/Other,Yes,Price,Yes,Yes,Yes,Yes,,Yes,6,26,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,High,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Transformer_Attention; Optimization; XAI,stock prices,stock prices,attention; finbert; transformer,accuracy; comparative; dataset; experiment,"In contrast, traditional financial research has primarily focused on analyzing structured data such as stock prices.",investor sentiment; sentiment analysis,,Unclear,Unclear,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Unclear,,,,financial news,social media,sentiment; sentiment scores,finbert,,,,transformer,,optimized,,interpretability,,,
