UID,Title,Authors,Year,Venue,DOI,Abstract,Keywords,Document_Type,Scopus,ScienceDirect,Elicit,Query_Hits,Master_ID,Evidence_Level,Screening_Decision,Exclusion_Code,Exclusion_Reason,Stock_Evidence,Prediction_Evidence,AI_Evidence,NonTarget_Evidence
doi:10.1007/s00521-024-10867-y,A survey of recent machine learning techniques for stock prediction methodologies,Vishwakarma V.K.; Bhosale N.P.,2025,Neural Computing and Applications,10.1007/s00521-024-10867-y,"The prime purpose of the research is to investigate stock price prediction techniques and their shortcomings concerning particular characteristics and performance measures. The research uses performance metric analysis, dataset analysis, and bibliographic analysis to determine the current state of recently published research on financial market prediction. The research examines how well machine learning models predict stock market performance, emphasizing how accuracy, precision, and recall are often used as performance measures. The researchers thoroughly analyzed 24 publications, detailing the data elements that were employed, such as historical datasets and technical indicators, and criticized related studies for frequently omitting the adjusted closing price. The research indicates that since Adj Close captures closing opinions from important market participants, it is essential for precise stock prediction. This research opens the door for further research into feature selection and how it affects prediction accuracy by illuminating how these machine learning models behave when other characteristics are added. Previous research has shown that machine learning methods such as long short-term memory and support vector machines are often used for stock price prediction with some data optimization. The performance metrics that were employed to assess the performance were also examined. The researchers have reported that rather than being regression-based, the most often utilized metrics are classification-based. Performance is also measured via other metrics, such as the Sharpe ratio and accumulated error. The findings will assist financial market researchers in developing creative concepts and selecting the most useful criteria from the data that have been provided. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2024.",Adj close; Long short-term memory; Machine learning; Stock prediction; Support vector machine; Commerce; Costs; Financial markets; Market Research; Support vector machines; Adj close; Machine learning models; Machine-learning; Performance; Performance measure; Performance metrices; Short term memory; Stock predictions; Stock price prediction; Support vectors machine; Prediction models,Review,Yes,No,No,SC01,M-0083,Abstract available,Background,E09,Review/survey/bibliometric paper retained as Background,stock market; stock prediction; stock price,predict; prediction,machine learning; support vector,
doi:10.1007/s10462-024-10854-8,Explainable artificial intelligence (XAI) in finance: a systematic literature review,Černevičienė J.; Kabašinskas A.,2024,Artificial Intelligence Review,10.1007/s10462-024-10854-8,"As the range of decisions made by Artificial Intelligence (AI) expands, the need for Explainable AI (XAI) becomes increasingly critical. The reasoning behind the specific outcomes of complex and opaque financial models requires a thorough justification to improve risk assessment, minimise the loss of trust, and promote a more resilient and trustworthy financial ecosystem. This Systematic Literature Review (SLR) identifies 138 relevant articles from 2005 to 2022 and highlights empirical examples demonstrating XAI's potential benefits in the financial industry. We classified the articles according to the financial tasks addressed by AI using XAI, the variation in XAI methods between applications and tasks, and the development and application of new XAI methods. The most popular financial tasks addressed by the AI using XAI were credit management, stock price predictions, and fraud detection. The three most commonly employed AI black-box techniques in finance whose explainability was evaluated were Artificial Neural Networks (ANN), Extreme Gradient Boosting (XGBoost), and Random Forest. Most of the examined publications utilise feature importance, Shapley additive explanations (SHAP), and rule-based methods. In addition, they employ explainability frameworks that integrate multiple XAI techniques. We also concisely define the existing challenges, requirements, and unresolved issues in applying XAI in the financial sector. © The Author(s) 2024.",Decision making; Explainability; Explainable artificial intelligence (XAI); Finance; Financial data science; Interpretability; Electronic trading; Finance; Forestry; Neural networks; Risk assessment; Decisions makings; Explainability; Explainable artificial intelligence (XAI); Financial data; Financial data science; Financial modeling; Interpretability; Potential benefits; Risks assessments; Systematic literature review; Decision making,,Yes,No,No,SC01,M-0104,Abstract available,Background,E09,Review/survey/bibliometric paper retained as Background,stock price,,artificial intelligence; gradient boosting; random forest; xgboost,
doi:10.1007/s11831-025-10370-0,Enhancing Stock Market Prediction with LSTM: A Review of Recent Developments and Comparative Analysis,Hafshejani M.S.; Mansouri N.,2026,Archives of Computational Methods in Engineering,10.1007/s11831-025-10370-0,"Artificial Intelligence can be used to predict stock prices because dissatisfaction is a prerequisite to progress. Those individuals at that time dreamed of forecasting stock prices flawlessly, but this remained just a dream. Today, we use machine learning techniques to predict stock prices with high accuracy as a result of these people’s visions. It was found that the Recurrent Neural Network (RNN) is a useful tool for approximating dynamic systems. The Long Short-Term Memory (LSTM) is a RNN with multilayer cells and state memory. In this article, we highlight the importance of LSTM networks in predicting stock market movements. Time series data such as financial time series are modeled by analyzing temporal dependencies. The objective of this paper is to synthesize existing knowledge on LSTM applications, focusing on comparing different approaches to predictive modeling, and providing insight into various areas for further improvement in predictive modeling by utilizing the LSTM model to forecast the stock market. We compare 98 studies based on several important criteria. Its purpose is to inform future research and practical applications in financial decision-making by systematically reviewing these factors. In addition to LSTM networks, another contribution of the article is its investigation of the integration of additional techniques with them, such as sentiment analysis of news and social media data, which may provide an even more comprehensive view of market sentiment than LSTM networks alone. To summarize, this article presents a detailed comparative analysis that can be helpful to researchers and practitioners in the future, in addition to consolidating fragmented knowledge surrounding the use of LSTM in financial forecasting. © The Author(s) under exclusive licence to International Center for Numerical Methods in Engineering (CIMNE) 2025.",; Commerce; Costs; Data mining; Decision making; Electronic trading; Financial markets; Forecasting; Learning algorithms; Learning systems; Prediction models; Sentiment analysis; Time series; Comparative analyzes; Forecasting stock prices; High-accuracy; Machine learning techniques; Memory network; Neural-networks; Predictive models; Short term memory; Stock market prediction; Stock price; Long short-term memory,Review,Yes,No,No,SC01,M-0280,Abstract available,Background,E09,Review/survey/bibliometric paper retained as Background,stock market; stock price,forecast; forecasting; predict; prediction,artificial intelligence; lstm; machine learning; neural network; recurrent neural; rnn,
doi:10.1007/s42979-026-05105-2,Decoding the Market Pulse: A Survey of Next-Gen Hybrid Machine Learning Architectures for Stock Forecasting,Khonde S.; Dudhedia M.; Ambadekar S.; Kale A.; Dhaigude T.A.; Sonawane V.; Nemade S.B.; Patil Y.P.; Mulay P.P.; Bodkhe B.K.; Gawande S.H.,2026,SN Computer Science,10.1007/s42979-026-05105-2,"Stock market forecasting presents a significant challenge due to the inherent volatility and dynamic behavior of financial markets. Achieving accurate predictions is essential, as it directly influences investment strategies, risk mitigation practices, and broader economic planning. This paper provides a comprehensive review of advanced forecasting methodologies, with a particular emphasis on deep learning models. This survey analyses the evolution of these forecasting methodologies with emphasis on the latest Hybrid model era. The next-generation architectures that synthesize Convolutional Neural Networks for spatial feature extraction with attention-based LSTMs and Gated Recurrent Units are critically evaluated. Furthermore, the emergence of Transformer models and Reinforcement Learning in addressing the ‘stability-plasticity’ dilemma are examined. Comparative analysis reveals that hybrid systems integrating signal decomposition (e.g., VMD-LSTM) and domain-specific pre-processing significantly outperform standalone deep learning models in capturing market dynamics. The study concludes by identifying open challenges in model interpretability and edge deployment for high-frequency trading. © The Author(s), under exclusive licence to Springer Nature Singapore Pte Ltd. 2026.",CNN; LSTM; RF; Stock market forecasting,Review,Yes,No,No,SC01,M-0364,Abstract available,Background,E09,Review/survey/bibliometric paper retained as Background,stock forecasting; stock market,forecasting,attention; cnn; convolutional; deep learning; hybrid model; lstm; machine learning; transformer,
doi:10.1007/s44163-025-00365-y,Advanced AI and big data techniques in E-finance: a comprehensive survey,Najem R.; Bahnasse A.; Fakhouri Amr M.; Talea M.,2025,Discover Artificial Intelligence,10.1007/s44163-025-00365-y,"The finance sector is one of those that have had a dramatic change after the integration of technology and more so Artificial Intelligence, Big Data, Text Mining and Cloud computing which has also given way to the development of e-finance where electronic channels together with digital technologies are used to deliver financial services. E-finance takes advantage of these new technologies to provide easy, efficient, and innovative financial services to people. This makes it possible for DFI to reduce expenses, make data-informed decisions and improve their experience for clients but also opens access to financial services for people in emerging markets. Advances need to ensure data protection and secrecy for the well and confidence in financial industry as well: research will scrutinize effects due technological progress on AI plus Big Data, Text Mining or Cloud Computing within Finance. This paper attempts a comprehensive review of literature through scholarly articles and papers published over the past thirteen years (2013–2025) available through Google Scholar and SCOPUS. The research methodology proceeded by choosing and crossing keywords related to technology and fintech, based on a bibliometric analysis of the past and current literature of related fields, the frequency of citation, and usage in emerging AI, Big Data, Text Mining, and Cloud computing trends in finance. Wide coverage was pursued by considering expert-reviewed high-ranking keywords drawn from the core areas of the field. The results identify the top publishers and journals holding significant influence in the field of E-finance. Moreover, this paper will also shed light on the possible benefits of text mining in finance which include improving customer satisfaction as well as detecting and preventing fraudulent transactions and risks mitigation. Results underscore the co-dependence between Finance, Technology, AI, Big Data, Text Mining, Cloud. And how they fit with each other; it further proposed a new methodology that detailed using multi-source datasets. However, these findings form valuable insights into the growing importance of emerging technologies upon the finance industry and current key trends in this area. © The Author(s) 2025.",Artificial Intelligence; E-finance; Emergent technologies; Forecasting; Machine Learning; Prediction; Stock Market; Cloud computing; Commerce; Customer satisfaction; Electronic trading; Financial markets; Large datasets; Learning systems; Technological forecasting; Text mining; 'current; Cloud-computing; Digital technologies; E finances; Electronic channels; Emergent technologies; Financial service; Informed decision; Machine-learning; Text-mining; Artificial intelligence,Review,Yes,No,No,SC01,M-0374,Abstract available,Background,E09,Review/survey/bibliometric paper retained as Background,stock market,forecasting; prediction,artificial intelligence; machine learning,
doi:10.1016/j.array.2025.100390,Deep learning for algorithmic trading: A systematic review of predictive models and optimization strategies,Bhuiyan M.S.M.; Rafi M.A.; Rodrigues G.N.; Mir M.N.H.; Ishraq A.; Mridha M.F.; Shin J.,2025,Array,10.1016/j.array.2025.100390,"Algorithmic trading has revolutionized financial markets, offering rapid and efficient trade execution. The integration of deep learning (DL) into these systems has further enhanced predictive capabilities, providing sophisticated models that capture complex, non-linear market patterns. This systematic literature review explores recent advancements in the application of DL algorithms to algorithmic trading with a focus on optimizing financial market predictions. We analyze and synthesize the key DL architectures, such as recurrent neural networks (RNN), long short-term memory (LSTM), convolutional neural networks (CNN), and hybrid models, to evaluate their performance in predicting stock prices, volatility, and market trends. The review highlights current challenges, such as data noise, overfitting, and interpretability, while discussing emerging solutions and future research directions. Our findings provide a comprehensive understanding of how DL reshapes algorithmic trading and its potential to improve decision-making processes in volatile financial environments. © 2025 The Authors",Algorithmic trading; Deep learning; Financial market prediction; Predictive modeling; Stock price forecasting; Algorithmic trading; Deep learning; Financial market prediction; Market prediction; Modeling and optimization; Modelling strategies; Optimization strategy; Predictive models; Stock price forecasting; Systematic Review; Prediction models,,Yes,Yes,No,SC01; SD01; SD02; SD04; SD05,M-0441,Abstract available,Background,E09,Review/survey/bibliometric paper retained as Background,stock price,forecasting; prediction,cnn; convolutional; deep learning; lstm; recurrent neural; rnn,
doi:10.1016/j.asoc.2024.112359,Machine learning techniques via ensemble approaches in stock exchange index prediction: Systematic review and bibliometric analysis,Ferro J.V.R.; Santos R.J.R.D.; de Barros Costa E.; da Silva Brito J.R.,2024,Applied Soft Computing,10.1016/j.asoc.2024.112359,"The prediction of time series indices in stock markets has become an area of growing interest, providing investors with an advanced insight into a country's economic prospects in the short, medium, and long term. Much of this type of prediction has been conducted using machine learning techniques, aiming to develop effective and efficient models that can provide greater accuracy in forecasting. In this context, however, single-predict model approaches have shown limitations, such as the inability to handle diverse information efficiently, the non-linearity, and chaos in financial data. In the face of these limitations, ensemble approaches emerge as a strategy to mitigate these challenges. Although these ensemble approaches can be promising, there is no structured understanding related to their application in activities to predict time series indices in stock markets. Within this context, this study aims to investigate to what extent the literature has proposed and evaluated solutions that contribute to characterizing the state of the art in predicting the Stock Market Index through ensemble machine learning approaches. Fifty-three articles resulting from a systematic review, focused on scientific production between 2017 and the first half of 2023, were analyzed. The study performs a bibliometric analysis and categorization of the results, detailing and highlighting the main themes in the field. The bibliometric analysis identifies key authors, countries, conferences, and approaches to predict the Stock Market Index. The qualitative analysis reveals the benefits arising from the combination of algorithms in mitigating accuracy problems in index prediction, as well as systematizing information to characterize the state of the art in the field of study. Our results show that combined algorithms are an effective strategy to increase accuracy in predicting the Stock Market Index, which can benefit investors and financial institutions. This paper presents the future research scope by highlighting gaps in the existing literature for developing techniques to handle concept drifts. © 2024 Elsevier B.V.",Ensemble methods; Financial time series prediction; Machine learning; Prediction; Stock exchange index; Systematic literature review; Adversarial machine learning; Contrastive Learning; Decentralized finance; Marketplaces; Bibliometrics analysis; Ensemble approaches; Ensemble methods; Financial time series predictions; Machine learning techniques; Machine-learning; Stock exchange; Stock exchange index; Stock market index; Systematic literature review; Prediction models,Review,Yes,Yes,No,SC01; SD01; SD02; SD04; SD05,M-0464,Abstract available,Background,E09,Review/survey/bibliometric paper retained as Background,market index; stock market,forecasting; predict; prediction,machine learning,
doi:10.1016/j.asoc.2025.112978,Unraveling asset pricing with AI: A systematic literature review,Yan Chen and Lin Zhang and Zhilong Xie and Wenjie Zhang and Qing Li,2025,Applied Soft Computing,10.1016/j.asoc.2025.112978,"Asset pricing, long recognized as a cornerstone of financial studies with multiple Nobel Prizes in Economics, is experiencing a profound transformation through the integration of artificial intelligence (AI). This study highlights the convergence of finance and computer science in asset pricing, offering novel insights into AI-driven approaches through an in-depth analysis of hundreds of research papers. The study begins by examining the key factors influencing asset pricing, highlighting the significance of factor interactions in AI-driven asset pricing models. It then systematically reviews various econometric and machine learning models from both financial and computational perspectives, underscoring the importance of designing predictive asset pricing models based on financial assumptions and principles. This reflects the inevitable convergence of finance and computer science in the field of asset pricing. Finally, the study outlines three research directions, providing actionable guidance for future exploration: (1) the development of large-scale multimodal datasets to equip advanced models with the breadth of information required to enhance foresight, (2) the integration of fundamental economic theories into model design to enhance relevance and resilience, emulating the nuanced decision-making processes of experienced traders, and (3) improving the interpretability of deep learning models to bridge the gap between their outputs and actionable insights. In addition, this study introduces the QuantPlus project, an initiative designed to provide large-scale datasets that empower researchers to evaluate and advance innovative models.","Deep learning, Asset pricing, Machine learning, Stock prediction, Quantitative trading",Article,No,Yes,No,SD01; SD02; SD05,M-0476,Abstract available,Background,E09,Review/survey/bibliometric paper retained as Background,stock prediction,prediction,artificial intelligence; deep learning; machine learning,
doi:10.1016/j.compeleceng.2026.111110,Artificial intelligence methods for financial market prediction: A systematic review,Deniz NoorMohammadzadehMaleki and Sina Abbaskhani and Amirfarhad Farhadi and Azadeh Zamanifar,2026,Computers and Electrical Engineering,10.1016/j.compeleceng.2026.111110,"Financial markets generate non-stationary time series that challenge traditional statistical forecasting methods. Recent advances in artificial intelligence have enabled powerful data-driven approaches capable of capturing nonlinear patterns in financial data. This systematic review analyzes research published between 2013 and 2025 on the use of machine learning and deep learning techniques for financial market prediction. The review covers a wide range of models including recurrent neural networks, long short-term memory networks, convolutional neural networks, transformer architectures, generative adversarial networks, and deep reinforcement learning. Quantitative analysis shows the dominance of long short-term memory models in the literature, while transformer-based approaches are emerging as promising alternatives for modeling long-range dependencies. The analysis also reveals a strong geographical concentration of datasets in United States and Chinese markets. Finally, the study highlights a persistent gap between predictive accuracy and practical trading profitability and discusses future research directions for more robust and interpretable financial forecasting models.","Financial market prediction, Machine learning, Deep learning, Generative adversarial networks, Transformer models, Reinforcement learning, Financial time series, Systematic review",Article,No,Yes,No,SD01; SD02; SD03; SD04; SD05,M-0564,Abstract available,Background,E09,Review/survey/bibliometric paper retained as Background,,forecasting; prediction,artificial intelligence; convolutional; deep learning; machine learning; recurrent neural; transformer,
doi:10.1016/j.cosrev.2024.100664,A comprehensive survey of text classification techniques and their research applications: Observational and experimental insights,Kamal Taha and Paul D. Yoo and Chan Yeun and Dirar Homouz and Aya Taha,2024,Computer Science Review,10.1016/j.cosrev.2024.100664,"The exponential growth of textual data presents substantial challenges in management and analysis, notably due to high storage and processing costs. Text classification, a vital aspect of text mining, provides robust solutions by enabling efficient categorization and organization of text data. These techniques allow individuals, researchers, and businesses to derive meaningful patterns and insights from large volumes of text. This survey paper introduces a comprehensive taxonomy specifically designed for text classification based on research fields. The taxonomy is structured into hierarchical levels: research field-based category, research field-based sub-category, methodology-based technique, methodology sub-technique, and research field applications. We employ a dual evaluation approach: empirical and experimental. Empirically, we assess text classification techniques across four critical criteria. Experimentally, we compare and rank the methodology sub-techniques within the same methodology technique and within the same overall research field sub-category. This structured taxonomy, coupled with thorough evaluations, provides a detailed and nuanced understanding of text classification algorithms and their applications, empowering researchers to make informed decisions based on precise, field-specific insights.","Text classification, Text data mining, Data science, Artificial intelligence, Deep learning",Article,No,Yes,No,SD01; SD05,M-0570,Abstract available,Background,E09,Review/survey/bibliometric paper retained as Background,,,artificial intelligence; deep learning,
