Master_ID,AI_Decision,Human_Decision,AI_Exclusion_Code,Human_Exclusion_Code,Title,Year,Venue,DOI,AI_Reason,Reviewer_Notes,Primary_Theme,Evidence_Level,Prediction_Target,Stock_Evidence,Prediction_Evidence,AI_Evidence,NonTarget_Evidence,Technical_Indicators,Fundamental_Data,Financial_News,Sentiment,Multimodal,Fusion,Optimization,XAI,Temporal_Validation
M-0021,Exclude,Include,E12,,Forecasting Volatility of Australian Stock Market Applying WTC-DCA-Informer Framework,2025,Journal of Forecasting,10.1002/for.3264,Stock-market study focuses on volatility/risk rather than an eligible price/return/direction/trend forecasting target.,,T5 Transformer/attention,Abstract available,Unclear,stock market,forecasting; prediction,deep learning; hybrid model; machine learning,volatility forecasting,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear
M-0158,Exclude,Include,E12,,The Impact of Foreign Stock Market Indices on Predictions Volatility of the WIG20 Index Rates of Return Using Neural Networks,2025,Computational Economics,10.1007/s10614-024-10662-w,Stock-market study focuses on volatility/risk rather than an eligible price/return/direction/trend forecasting target.,,T9 Other relevant AI stock forecasting,Abstract available,Unclear,ftse; hang seng; nasdaq; nikkei; s&p 500; stock index; stock market,forecast; forecasting; predict; prediction,machine learning; neural network,volatility forecasting,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear
M-0430,Exclude,Include,E13,,Client: Cross-variable linear integrated enhanced transformer for multivariate long-term time series forecasting,2025,AI Open,10.1016/j.aiopen.2025.06.001,AI/ML forecasting present but direct stock/equity relevance not established,,T5 Transformer/attention,Abstract available,Unclear,,forecasting,attention; transformer,,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear
M-0449,Exclude,Include,E06,,Reinforcement learning-enhanced multi-strategy cuckoo search algorithm to solve combined economic emission dispatch problems,2026,Ain Shams Engineering Journal,10.1016/j.asej.2026.104188,Non-financial time-series forecasting / no stock-equity context,,T6 Optimization/metaheuristics/HPO,Abstract available,Unclear,,,,,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear
M-0586,Exclude,Include,E13,,A data-filtered sentiment analysis model for economic forecasting,2025,Decision Analytics Journal,10.1016/j.dajour.2025.100629,AI/ML forecasting present but direct stock/equity relevance not established,,T3 Financial news/sentiment,Abstract available,Unclear,,forecasting,attention; machine learning,,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear
M-1097,Exclude,Include,E06,,"Short-term momentum and reversals, turnover, and a stock's price-to-52-week-high ratio",2024,Journal of Empirical Finance,10.1016/j.jempfin.2024.101556,Non-financial time-series forecasting / no stock-equity context,,T2 Fundamental-data forecasting,Abstract available,Unclear,,,,,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear
M-1125,Exclude,Include,E13,,How can we predict transportation stock prices using artificial intelligence? Findings from experiments with Long Short-Term Memory based algorithms,2024,International Journal of Information Management Data Insights,10.1016/j.jjimei.2024.100293,AI/ML forecasting present but direct stock/equity relevance not established,,T9 Other relevant AI stock forecasting,Abstract available,Unclear,,forecast; predict; prediction,artificial intelligence; lstm,,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear
M-1415,Exclude,Include,E04,,Volatility prediction model based on EPU-GPR-VIX multidimensional portfolio,2026,Research in International Business and Finance,10.1016/j.ribaf.2026.103431,Portfolio optimization/asset allocation without an explicit eligible stock forecasting task,,T3 Financial news/sentiment,Abstract available,Unclear,csi 300; stock market,forecast; forecasting; prediction,,volatility forecasting; volatility prediction,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Yes
M-1417,Exclude,Include,E07,,Finance and emotions: A study on investor sentiment and its implication on market movements,2026,Research in International Business and Finance,10.1016/j.ribaf.2026.103545,Sentiment analysis related to stocks but no explicit eligible stock forecasting task,,T3 Financial news/sentiment,Abstract available,Unclear,ftse; stock market,,,,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear
M-1444,Exclude,Include,E06,,AI-Driven urban planning optimization: A graph neural network and genetic algorithm framework for tackling peak-hour challenges,2025,Sustainable Cities and Society,10.1016/j.scs.2025.106407,Non-financial time-series forecasting / no stock-equity context,,T6 Optimization/metaheuristics/HPO,Abstract available,Unclear,,,gnn; graph neural; neural network,,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear
