Master_ID,Queue_Reason,AI_Decision,Title,Year,Venue,DOI,Abstract,Keywords,Exclusion_Code,AI_Reason,Primary_Theme,Priority_Score,Human_Decision,Human_Exclusion_Code,Reviewer_Notes,Reviewer,Reviewed_UTC
M-0129,QC sample — Include,Include,Leveraging BiLSTM-GAT for enhanced stock market prediction: a dual-graph approach to portfolio optimization,2025,Applied Intelligence,10.1007/s10489-025-06462-w,"Stock price prediction remains a critical challenge in financial research due to its potential to inform strategic decision-making. Existing approaches predominantly focus on two key tasks: (1) regression, which forecasts future stock prices, and (2) classification, which identifies trading signals such as buy, sell, or hold. However, the inherent limitations of financial data hinder effective model training, often leading to suboptimal performance. To mitigate this issue, prior studies have expanded datasets by aggregating historical data from multiple companies. This strategy, however, fails to account for the unique characteristics and interdependencies among individual stocks, thereby reducing predictive accuracy. To address these limitations, we propose a novel BiLSTM-GAT-AM model that integrates bidirectional long short-term memory (BiLSTM) networks with graph attention networks (GAT) and an attention mechanism (AM). Unlike conventional graph-based models that define edges based solely on technical or fundamental relationships, our approach employs a dual-graph structure: one graph captures technical similarities, while the other encodes fundamental industry relationships. These two representations are aligned through an attention mechanism, enabling the model to exploit both technical and fundamental insights for enhanced stock market predictions. We conduct extensive experiments, including ablation studies and comparative evaluations against baseline models. The results demonstrate that our model achieves superior predictive performance. Furthermore, leveraging the model’s forecasts, we construct an optimized portfolio and conduct backtesting on the test dataset. Empirical results indicate that our portfolio consistently outperforms both baseline models and the S&P 500 index, highlighting the effectiveness of our approach in stock market prediction and portfolio optimization. © The Author(s) 2025.",Attention mechanism; BiLSTM; Graph attention network; Portfolio management; Stock selection; Technical indicators; Financial markets; Marketplaces; Attention mechanisms; Bidirectional long short-term memory; Dual graphs; Graph attention network; Portfolio managements; Portfolio optimization; Short term memory; Stock market prediction; Stock selections; Technical indicator; Prediction models,,Explicit stock/equity forecasting task using AI/ML/DL.,T5 Transformer/attention,5,Exclude,E09,,Harman,2026-09-25T06:51:44.374545+00:00
M-0132,QC sample — Include,Include,Hybrid stock price forecasting model using LSTM of attention mechanism combining noise removal and neighborhood rough set,2026,Applied Intelligence,10.1007/s10489-025-07048-2,"Financial markets are highly non-linear and noisy, which complicates stock price forecasting. Traditional machine learning models often fail to appropriately generalize noisy data. Additionally, incorporating redundant attributes increases training complexity and overfitting risk. In this study, a hybrid model is proposed that combines noise reduction and feature selection techniques to improve forecasting accuracy and efficiency. Specifically, we propose a fusion noise identification and attribute reduction method based on independent component analysis (ICA), signal-to-noise ratio (SNR) theory, and neighborhood rough set (NRS) theory to address the aforementioned problems. First, technical indicators are established and used as alternative inputs for ICA. The aim is to determine the optimal ICA input dimension and noise sequence by maximizing the SNR while minimizing the reconstructed similarity of the series. Second, we calculate the attribute significance using the neighborhood rough set and obtain an attribute subset that satisfies the threshold filter condition. Finally, an attention mechanism-based (AM) long short-term memory (LSTM) neural network is used to build a forecasting model for the noise-reduced close price and reduced set of attributes. The research findings indicate that for time series denoising based on ICA, optimal results are achieved with an appropriate input dimension. Excessive input sequences introduce noise or redundant information. Attribute reduction based on NRS effectively reduces both temporal and spatial computational complexity without sacrificing generalization accuracy. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2026.",Attention mechanism; Attribute reduction; Independent component analysis; Long short-term memory; Neighborhood rough set; Stock price forecasting; Costs; Electronic trading; Financial markets; Forecasting; Learning systems; Long short-term memory; Noise abatement; Signal to noise ratio; Attention mechanisms; Attribute reduction; Forecasting models; Independent components analysis; Input dimensions; Neighborhood rough sets; Noise ratio; Short term memory; Signal to noise; Stock price forecasting; Independent component analysis,,Explicit stock/equity forecasting task using AI/ML/DL.,T5 Transformer/attention,3,Exclude,E12,,Harman,2026-09-25T06:51:52.347154+00:00
M-0155,QC sample — Include,Include,Stock Price Prediction with Heavy-Tailed Distribution Time-Series Generation Based on WGAN-BiLSTM,2025,Computational Economics,10.1007/s10614-024-10639-9,"Accurate stock price prediction is essential for investing in the financial market. Aiming at the problem’s accuracy, the prediction model is restricted due to the lack of sufficient data samples for the stock price of newly listed companies. This paper proposes a novel approach to improve the generalization of Bidirectional Long Short-Term Memory Network (BiLSTM) with Wasserstein Generative Adversarial Network (WGAN) on stock time-series data augmentation. WGAN is used to learn the distribution rules of the real data, and the two-sample KS test and the area between the log–log plots are adopted to evaluate the extent of heavy-tailed distribution of the generated samples similar to that of real-world data. BiLSTM is employed to extract and predict data’s forward and reverse time information. With the stock price data, the prediction results of different algorithm models without and after augmented data are compared. Experimental results show that the accuracy of BiLSTM enhanced by WGAN is significantly improved, and the proposed WGAN-BiLSTM model is suitable for stock price prediction in few-shot settings. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",Data augmentation; Fat-tailed distribution; Financial time-series forecast; Generation adversarial network (GAN); Long short-term memory (LSTM),,Explicit stock/equity forecasting task using AI/ML/DL.,T9 Other relevant AI stock forecasting,2,Exclude,E12,,Harman,2026-09-25T06:52:01.852016+00:00
M-0340,QC sample — Include,Include,A comparative study of deep learning approaches for stock price prediction,2025,Digital Finance,10.1007/s42521-025-00149-0,"Stock price prediction (SPP) is a highly complex and dynamic task, heavily influenced by non-linear patterns, seasonal effects, and economic volatility. Traditional statistical methods often struggle to model these complexities effectively. Deep learning techniques have emerged as powerful tools capable of addressing these challenges due to their ability to learn and represent relationships within large datasets. However, many existing models encounter limitations in capturing both short-term fluctuations and long-term trends simultaneously. In this study, we perform a comprehensive comparison of various deep learning approaches, including Long Short-Term Memory (LSTM), Bidirectional LSTM (BiLSTM), hybrid CNN + RNN + Attention architectures, and Transformer models, for stock price prediction system. Additionally, we introduce an enhanced Transformer-based model that integrates BiLSTM networks with the Transformer architecture to better capture temporal dependencies by considering long-term and short-term information. Through experimental evaluations on various high-tech stock market datasets, our results demonstrate that the proposed model outperforms existing methods, achieving better accuracy and robustness across various market conditions. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2025.",BiLSTM; C45; C53; Convolutional neural network; G17; Hybrid model; LSTM; Stock price prediction; Transformer,,Explicit stock/equity forecasting task using AI/ML/DL.,T5 Transformer/attention,2,Exclude,E09,,Harman,2026-09-25T06:52:26.941313+00:00
M-0365,QC sample — Include,Include,PP-FSPML: Preemptive and Proactive Financial Signal Processing Framework Using Machine Learning,2026,SN Computer Science,10.1007/s42979-026-05234-8,"The current financial market is adopting advanced data-driven technologies where Financial Signal Processing (FSP) plays a crucial role not only in acquisition of enriched knowledge from financial data but also assists in securing the interest of consumer from the uncertain and unpredictable market volatility. Machine Learning (ML) has an integral contribution towards boosting the predictive performance by identifying complex patterns in financial distribution data; however, existing learning approaches doesn’t offer an assurance from market volatility. Hence, this problem is addressed by presenting a Preemptive and Proactive FSP using ML that emphasizes on addressing the problem related to prediction of Financial Asset Resources (FAR) that the existing solution has yet not come up with definitive solution towards securing its investors. The scheme performs statistical analysis of threats associated with input financial data considering market volatility, interest rates, and credit risk associated with financial sector of Asia-Pacific region. It is followed by obtaining statistical features for extreme values. Further, a contextual partitioning on time-series financial data is carried out considering directional trend, iterative trend, and residual. The outcome of the signal processing in proposed model is then subjected to Convolution Neural Network (CNN) and Bidirectional Long Short-Term Memory (BiLSTM) to generate the final predictive outcome. Analyzed on Asian Stock Market Dataset, Nikkei 225 Historical Data, and Hong Kong Stock Market Data, proposed scheme excels 40% increased accuracy and 35% reduced processing time in contrast to existing learning schemes. © The Author(s) 2026.",Convolution neural network; Final asset; Financial signal processing; Investor; Machine learning; Trend,,Explicit stock/equity forecasting task using AI/ML/DL.,T1 Historical/technical forecasting,2,Exclude,E12,,Harman,2026-09-25T06:52:33.263210+00:00
M-0407,QC sample — Include,Include,Chapter 16 - Large language model-driven trading: Enhancing financial algorithms with sentiment and risk analysis,2026,,10.1016/b978-0-443-44344-2.00011-x,"Purpose: This chapter follows an empirical research design to explore the efficacy of large language models (LLMs) in enhancing the financial trading algorithms through a data-driven, predictive risk mitigation strategy. It showcases the accuracy of the LLM-based investor sentiment analysis in financial stock markets across three geographic locations, that is, the United States, China, and the United Kingdom. Background: The retailization of finance and democratization of investing through online discussion platforms have substantially impacted investor stock market behavior. The traditional financial models fail to account for psychologically influenced market volatility. This gap demonstrates the necessity of using the LLMs that can handle large volumes of unstructured investor sentiment data and acclimate to evolving behavioral finance trends. Methods: A cross-platform dataset is used from three online investor discussion platforms, that is, Stockwits in the United States, Weibo in China, and TradingView in the United Kingdom, for quantifying investor attitude and determining overall market perception. Econometric models and LLMs were integrated for investor sentiment analysis and forecasting the short-term stock price movements. Results: A significant correlation was found between LLM-extracted sentiment indicators and stock price volatility. LLMs outperformed the traditional lexicon-based models in ensemble financial settings. Herd behavior showed a moderate but discernible effect on the market sentiment and market volatility interrelationships, strengthening the role of behavioral finance in algo-trading system design. The outcomes provide actionable insights for the algorithm developers and financial traders in constructing adequate risk-mitigated trading strategies.","Algorithmic trading, Automated Strategy development, Investor behavior, LLLarge language models (LLMs), Risk modeling, Sentiment analysis",,Explicit stock/equity forecasting task using AI/ML/DL.,T3 Financial news/sentiment,3,Exclude,E12,,Harman,2026-09-25T06:52:44.216351+00:00
M-0418,QC sample — Include,Include,Application of machine learning algorithms in the domain of financial engineering,2024,Alexandria Engineering Journal,10.1016/j.aej.2024.03.058,"Financial engineering is crucial for effectively combining finance with quantitative approaches. This study aims to forecast the performance of the Nasdaq stock market by considering numerous factors like wind, hydro, thermal, gas, and nuclear variables. To accomplish this, we utilize sophisticated predictive models, namely adaptive lasso (ALasso), elastic net (Enet), artificial neural network (ANN), convolutional neural network (CNN), and long short-term memory (LSTM). By using these advanced methods, our goal is to offer perceptive and precise predictions, which will enhance comprehension of the complex dynamics within the financial markets. The evidence suggests that the LSTM model has demonstrated superior accuracy in predicting changes in the Nasdaq stock market when compared to ALasso, Enet, ANN, and CNN. While ALasso, Enet, ANN, and CNN exhibit comparable RMSE and MAE values, their performance is slightly less competitive than that of the LSTM model. The marginal differences in RMSE (ALasso: 0.319, Enet: 0.317, ANN: 0.3, CNN: 0.32) and MAE (ALasso: 0.277, Enet: 0.276, ANN: 0.252, CNN: 0.278) emphasize the comparable effectiveness of various methods, but they somewhat drop below the LSTM model in terms of precision. The findings showed the significance of well-known and advanced ML techniques, particularly LSTM, for enhanced accuracy in financial market predictions. © 2024 The Authors",Financial engineering; Forecasting; Machine learning models; Stock market; Commerce; Convolutional neural networks; Electronic trading; Financial markets; Learning algorithms; Long short-term memory; Adaptive lassos; Convolutional neural network; Elastic net; Financial engineering; Machine learning algorithms; Machine learning models; Memory modeling; Performance; Quantitative approach; Thermal gas; Forecasting,,Explicit stock/equity forecasting task using AI/ML/DL.,T9 Other relevant AI stock forecasting,2,Exclude,E12,,Harman,2026-09-25T06:52:47.236585+00:00
M-0500,QC sample — Include,Include,Future fund holding prediction based on dynamic time-differential fund-asset networks,2026,Applied Soft Computing,10.1016/j.asoc.2026.114916,"Accurate prediction of future fund holdings, based on historical holding sequences, is critical for risk management and profit maximization. Unlike stock price or movement prediction, fund holding prediction faces unique challenges due to its complexity and sparsity of available data. Existing methods often rely on strict assumptions about fund composition and asset returns, which limit their applicability and accuracy. To address these limitations, we propose a novel fund holding prediction framework, which abandons traditional return-based data and instead leverages the time differences in fund disclosure to capture dynamic fund-asset relationships, enabling the prediction of holdings across all types of funds. Specifically, we construct a dynamic fund-asset network to capture historical and latest holding relationships, employ an attention mechanism to model temporal dependencies between funds and assets, and integrate information through a gated update module to enhance prediction accuracy. Using real-world portfolio data of 10,134 funds, our method significantly outperforms existing baselines, demonstrating its capability to predict holdings across diverse fund types. This method not only contributes to more accurate fund holding prediction but also offers practical implications for investors, fund managers, and regulators by improving risk management, decision-making, and market transparency. Furthermore, the framework can be applied to other financial contexts where temporal dependencies and network structures play a significant role. © 2026 Elsevier B.V.",Fund-asset network; Graph neural network; Holding prediction; Decision making; Dynamics; Electronic trading; Financial markets; Investments; Neural networks; Profitability; Risk management; Accurate prediction; Dynamic time; Fund-asset network; Graph neural networks; Holding prediction; ON dynamics; Prediction-based; Profit maximization; Risk profit; Risks management; Forecasting,,Explicit stock/equity forecasting task using AI/ML/DL.,T5 Transformer/attention,2,Exclude,E12,,Harman,2026-09-25T06:52:55.137149+00:00
M-0702,QC sample — Include,Include,Learning unified market interdependencies via networked attention for stock price forecasting,2026,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2026.114726,"Stock price forecasting is challenging due to market volatility and complex, dynamic inter-stock relationships. Existing graph-based approaches often rely primarily on static relational structures or simple time-aligned correlations, which capture only fixed or short-term relationships and fail to model transient cross-temporal dependencies and heterogeneous information sources. We propose a novel artificial intelligence framework for stock price forecasting that integrates heterogeneous data sources, including price co-movements, corporate linkages derived from Wikipedia, and industry affiliations, into a unified dynamic relational graph that combines both structural and behavioral dependencies. The proposed model, named Learning Unified Market Interdependencies (LUMI), adaptively models evolving inter-stock connections and uncovers latent dependencies beyond sectoral or time-aligned patterns. A dual-path temporal attention mechanism disentangles long-term trends from short-term fluctuations, capturing both periodic behaviors and abrupt market shifts. Extensive experiments on four market datasets demonstrate that the proposed deep learning framework outperforms strong baselines in predictive accuracy while providing interpretable insights into market interdependencies. These findings highlight the potential of artificial intelligence for modeling complex financial systems and improving algorithmic stock price forecasting. © 2026 The Authors.",Artificial intelligence; Deep learning; Financial market modeling; Graph neural networks; Stock price forecasting; Commerce; Complex networks; Costs; Electronic trading; Financial markets; Forecasting; Graph neural networks; Graph structures; Graphic methods; Investments; Complex dynamics; Deep learning; Financial Market Modelling; Graph neural networks; Graph-based; Market volatility; Relational structures; Simple++; Stock price forecasting; Volatility dynamics; Deep learning,,Explicit stock/equity forecasting task using AI/ML/DL.,T4 Multimodal/data fusion,5,Exclude,E12,,Harman,2026-09-25T06:52:59.035159+00:00
M-0772,QC sample — Include,Include,An Advisor Neural Network framework using LSTM-based Informative Stock Analysis,2025,Expert Systems with Applications,10.1016/j.eswa.2024.125299,"In the past years, the widespread diffusion of Artificial Intelligence (AI) in the finance domain transformed different services, with particular attention to the stock market. Although different AI-based approaches have been proposed for stock forecasting, they are focused on news content or sentiment without considering fundamental features and vice versa. In turn, other approaches rely on handmade rules or ones based on technical indicators for providing advice without considering contextual information that can strongly affect the stock market. In this paper, we propose an Advisor Neural Network framework using Long Short-Term Memory (LSTM)-based Informative Stock Analysis for Daily investment Advice. Specifically, the forecasting unit relies on a LSTM-based model, which combines technical indicators, contextual information, and financial data for stock forecasting. Successively, the advice unit provides next-day advice based on predicted information in conjunction with the proposed Heuristic Stocks Selection algorithm. This framework has been evaluated on the Stock and Cryptocurrencies markets, considering a subset of 417 stocks and 67 cryptocurrencies over three years, respectively. We compared the proposed framework with several state-of-the-art approaches, showing how it outperforms the baseline in both markets. Furthermore, we achieved a financial gain greater than 41%, despite the downward trend of the NASDAQ market in the quarter under review, and we obtained a 39.38% return on investment for the Cryptocurrencies market. © 2024 The Author(s)",Deep Learning; Stock forecasting; Stock Market; Stock selection; Contextual information; Deep learning; Different services; Network frameworks; Neural-networks; Short term memory; Stock analysis; Stock forecasting; Stock selections; Technical indicator; Decentralized finance,,Explicit stock/equity forecasting task using AI/ML/DL.,T3 Financial news/sentiment,4,Exclude,E12,E,Harman,2026-09-25T06:53:22.608446+00:00
