Master_ID,AI_Decision,Human_Decision,AI_Exclusion_Code,Human_Exclusion_Code,Title,Year,Venue,DOI,AI_Reason,Reviewer_Notes,Primary_Theme,Evidence_Level,Prediction_Target,Stock_Evidence,Prediction_Evidence,AI_Evidence,NonTarget_Evidence,Technical_Indicators,Fundamental_Data,Financial_News,Sentiment,Multimodal,Fusion,Optimization,XAI,Temporal_Validation
M-0129,Include,Exclude,,E09,Leveraging BiLSTM-GAT for enhanced stock market prediction: a dual-graph approach to portfolio optimization,2025,Applied Intelligence,10.1007/s10489-025-06462-w,Explicit stock/equity forecasting task using AI/ML/DL.,,T5 Transformer/attention,Abstract available,Price,s&p 500; stock market; stock price,prediction,attention,,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear
M-0132,Include,Exclude,,E12,Hybrid stock price forecasting model using LSTM of attention mechanism combining noise removal and neighborhood rough set,2026,Applied Intelligence,10.1007/s10489-025-07048-2,Explicit stock/equity forecasting task using AI/ML/DL.,,T5 Transformer/attention,Abstract available,Price,stock price,forecasting,attention; hybrid model; lstm; machine learning; neural network,,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear
M-0155,Include,Exclude,,E12,Stock Price Prediction with Heavy-Tailed Distribution Time-Series Generation Based on WGAN-BiLSTM,2025,Computational Economics,10.1007/s10614-024-10639-9,Explicit stock/equity forecasting task using AI/ML/DL.,,T9 Other relevant AI stock forecasting,Abstract available,Price,stock price,forecast; predict; prediction,lstm,,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear
M-0340,Include,Exclude,,E09,A comparative study of deep learning approaches for stock price prediction,2025,Digital Finance,10.1007/s42521-025-00149-0,Explicit stock/equity forecasting task using AI/ML/DL.,,T5 Transformer/attention,Abstract available,Price,stock market; stock price,prediction,attention; cnn; convolutional; deep learning; hybrid model; lstm; neural network; rnn; transformer,,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear
M-0365,Include,Exclude,,E12,PP-FSPML: Preemptive and Proactive Financial Signal Processing Framework Using Machine Learning,2026,SN Computer Science,10.1007/s42979-026-05234-8,Explicit stock/equity forecasting task using AI/ML/DL.,,T1 Historical/technical forecasting,Abstract available,Direction/Movement,nikkei; stock market,directional; prediction,cnn; machine learning; neural network,,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear
M-0407,Include,Exclude,,E12,Chapter 16 - Large language model-driven trading: Enhancing financial algorithms with sentiment and risk analysis,2026,,10.1016/b978-0-443-44344-2.00011-x,Explicit stock/equity forecasting task using AI/ML/DL.,,T3 Financial news/sentiment,Abstract available,Price,stock market; stock price,forecasting,large language model; llm,,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear
M-0418,Include,Exclude,,E12,Application of machine learning algorithms in the domain of financial engineering,2024,Alexandria Engineering Journal,10.1016/j.aej.2024.03.058,Explicit stock/equity forecasting task using AI/ML/DL.,,T9 Other relevant AI stock forecasting,Abstract available,Unclear,nasdaq; stock market,forecast; forecasting,cnn; convolutional; lstm; machine learning; neural network,,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear
M-0500,Include,Exclude,,E12,Future fund holding prediction based on dynamic time-differential fund-asset networks,2026,Applied Soft Computing,10.1016/j.asoc.2026.114916,Explicit stock/equity forecasting task using AI/ML/DL.,,T5 Transformer/attention,Abstract available,Multiple,stock price,forecasting; movement prediction; predict; prediction,attention; graph neural; neural network,,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear
M-0702,Include,Exclude,,E12,Learning unified market interdependencies via networked attention for stock price forecasting,2026,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2026.114726,Explicit stock/equity forecasting task using AI/ML/DL.,,T4 Multimodal/data fusion,Abstract available,Price,stock price,forecasting,artificial intelligence; attention; deep learning; graph neural,,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Unclear
M-0772,Include,Exclude,,E12,An Advisor Neural Network framework using LSTM-based Informative Stock Analysis,2025,Expert Systems with Applications,10.1016/j.eswa.2024.125299,Explicit stock/equity forecasting task using AI/ML/DL.,E,T3 Financial news/sentiment,Abstract available,Unclear,nasdaq; stock forecasting; stock market,forecasting; next-day,artificial intelligence; attention; deep learning; lstm; neural network,,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear
