Master_ID,Title,Year,Venue,DOI,Elicit_Core_Rank,Core_Selection_Reason,Prediction_Target,Forecast_Horizon,Market_Country,Number_of_Stocks,Data_Frequency,Data_Period,Historical_Variables,Technical_Indicators_Used,Fundamental_Variables_Used,Macroeconomic_Variables,News_Source,Social_Media_Source,Sentiment_Model,FinBERT_BERT_RoBERTa_Used,LLM_FinGPT_Used,Model_Family,Architecture,Attention_Mechanism,Multimodal_Design,Fusion_Strategy,Optimization_Method,Metaheuristic_Method,Train_Validation_Test_Protocol,Temporal_Split,Walk_Forward_or_Rolling,Normalization_Boundary,Feature_Selection_Boundary,Leakage_Control,Baselines,Evaluation_Metrics,Statistical_Tests,Ablation_Study,XAI_Method,Economic_Evaluation,Main_Contribution,Reported_Limitations,Future_Work,Closest_to_Our_Framework,Gap_Relevance_Notes
M-1729,Stock Market Prediction Using Node Transformer Architecture Integrated With BERT Sentiment Analysis,2026,IEEE Access,10.1109/access.2026.3691980,1,Four data families,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-0796,Effect of exogenous market sentiment indicators in stock price direction prediction,2025,Expert Systems with Applications,10.1016/j.eswa.2025.127696,2,Four data families,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-1383,"RNN-based stock price forecasting through the integration of technical indicators, fundamental data, and news sentiment analysis",2026,Procedia Computer Science,10.1016/j.procs.2026.07.157,3,Four data families,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-1368,Multimodal Financial Sentiment for Stock Return Prediction,2025,Procedia Computer Science,10.1016/j.procs.2025.09.177,4,Technical + fundamental + textual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-2219,LLM-Based multi-agent system for individual investment in energy and natural resources,2025,International Journal of Electronics and Telecommunications,10.24425/ijet.2025.153538,5,Technical + fundamental + textual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-0208,"Penalized Logistic Regressions with Technical Indicators, Fundamental Indicators and Sentiment Indicators Predict Weekly Stock Up or Down Trends",2026,Computational Economics,10.1007/s10614-025-11286-4,6,Technical + fundamental + textual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-0293,"A walk-forward multi-model approach to stock trading: leveraging sentiment, trend indicators, and transformer-based deep learning for next-day price forecasting",2026,International Journal of Machine Learning and Cybernetics,10.1007/s13042-026-03196-0,7,Closest competitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-2447,DASF-Net: A Multimodal Framework for Stock Price Forecasting with Diffusion-Based Graph Learning and Optimized Sentiment Fusion,2025,Journal of Risk and Financial Management,10.3390/jrfm18080417,8,Closest competitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-2731,Sentiment-Weighted Fusion of Financial News and Technical Indicators for Short-Horizon Equity Trend Classification: An Evidence-Informed Research Framework,2026,International Journal of Computer Information Systems and Industrial Management Applications,10.70917/ijcisim-2026-2611,9,Closest competitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-0328,SentiVol-GA: a volatility-scaled genetic fusion of predictive models and financial sentiment for adaptive stock forecasting,2026,International Journal of Data Science and Analytics,10.1007/s41060-025-00983-w,10,Closest competitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-1508,"Enhancing stock market price prediction through FinGPT-driven sentiment analysis, technical indicators, historical price data, and attention-based hybrid deep learning models",2026,Scientific Reports,10.1038/s41598-026-58717-2,11,Closest competitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-0080,A deep fusion model for stock market prediction with news headlines and time series data,2024,Neural Computing and Applications,10.1007/s00521-024-10303-1,12,Closest competitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-2037,Predicting Stock Market Movements Through Multisource Data Fusion Graphs: An Approach Employing Graph Convolutional Neural Network,2024,International Journal of Engineering Trends and Technology,10.14445/22315381/ijett-v72i6p102,13,Closest competitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-2641,An Interpretable Deep Learning Based Decision Support System for Stock Forecasting and Investment Recommendation Using Temporal Fusion Transformer,2026,Journal of Theoretical and Applied Information Technology,10.5281/zenodo.18824437,14,Closest competitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-2194,Dynamic Deep Stock Price Prediction Network with Support of Multi-Source Information,2025,International Journal of Intelligent Engineering and Systems,10.22266/ijies2025.0930.09,15,Closest competitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-0839,A multi-graph learning framework to fuse heterogeneous market information for stock forecasting,2026,Expert Systems with Applications,10.1016/j.eswa.2026.132142,16,Closest competitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-0226,Predicting Stock Price Direction with LSTM: A Fusion of Financial Sentiment Analysis with Technical Indicators,2025,Asia-Pacific Financial Markets,10.1007/s10690-025-09560-4,17,Closest competitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-1505,FusionLSTM-CNF: a confidence-calibrated multi-modal late fusion framework for robust stock movement prediction under uncertainty,2026,Scientific Reports,10.1038/s41598-026-43381-3,18,Closest competitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-1720,An Adaptive Modality Fusion Network for Stock Trend Prediction,2025,IEEE Access,10.1109/access.2025.3645089,19,Fusion + temporal validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-1725,DBC-LSTM-ARIMA as a Dynamic Bi-Directional Coupling and Jointly-Optimized Hybrid Approach for Stock Price Prediction,2026,IEEE Access,10.1109/access.2026.3662742,20,Fusion + temporal validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-2496,SGA-DCAT: Sentiment-Gated Dual-Stream Cross-Attention Temporal Network for Stock Price Prediction,2026,Mathematics,10.3390/math14101661,21,Fusion + temporal validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-2494,Macro–Market Fusion with Cross-Attention for Equity Return Prediction,2026,Mathematics,10.3390/math14081361,22,Fusion + temporal validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-2187,Predicting Stock Market Returns Using Temporal Fusion Transformer: A Comprehensive Data-Driven Approach,2026,"Iranian Journal of Accounting, Auditing and Finance",10.22067/ijaaf.2026.47513.1562,23,Fusion + temporal validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-2516,Symmetry-Aware Stock Prediction Based on Optimized Multi-Module Collaborative Features with LSTM-CBAM-Time2Vec-KAN,2026,Symmetry,10.3390/sym18071198,24,Fusion + optimization/metaheuristic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-0288,Combining Interpretable Embedded Multicriteria Feature Cross-Selection Engineering and Machine Learning to Mimic the Brain for Stock Trading Signal Prediction,2025,Cognitive Computation,10.1007/s12559-024-10365-2,25,Fusion + optimization/metaheuristic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-0275,Comparison of short-term and long-term forecasts using machine learning across S&P 500 industries with financial and market indicators,2026,Journal of Supercomputing,10.1007/s11227-026-08334-7,26,Fundamental + XAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-1593,"Expected price framework for Indian equities: a Random Forest model using behavioural, structural, and fundamental data",2026,Cogent Economics and Finance,10.1080/23322039.2026.2653292,27,Fundamental + XAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-2711,Meta-Learner Driven Deep Ensemble Learning for Real-Time Stock Market Prediction with Dynamic Technical and Fundamental Indicators,2026,Journal of Intelligent Decision Making and Information Science,10.59543/jidmis.v3.959,28,Fundamental + XAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-0657,Forecasting multistep daily stock prices for long-term investment decisions: A study of deep learning models on global indices,2024,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2023.107617,29,Fundamental + temporal validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-0282,A multimodal deep learning framework for stock direction prediction with granger-based predictive explainability,2026,Journal of Economics and Finance,10.1007/s12197-026-09761-1,30,Advanced financial NLP/LLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-0210,Intelligent Stock Price Prediction Model Research Integrating Multimodal Information and KAN Networks,2026,Computational Economics,10.1007/s10614-026-11314-x,31,Advanced financial NLP/LLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-0171,MoF: A Background-Aware Multi-source Fusion Financial Trend Forecasting Mechanism,2025,Computational Economics,10.1007/s10614-024-10811-1,32,Advanced financial NLP/LLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-1972,Forecasting China’s New Energy Stock Index Driven by Multi-Source Heterogeneous Information Fusion; [多源异构信息融合驱动的我国新能源股指预测研究],2026,Data Analysis and Knowledge Discovery,10.11925/infotech.2096-3467.2024.1205,33,Advanced financial NLP/LLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-0830,Integrative stock price trend prediction via hierarchical LLM text processing and patch-based transformer with co-attention,2026,Expert Systems with Applications,10.1016/j.eswa.2025.130441,34,Advanced financial NLP/LLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-0366,Explainable Multi-source AI Framework for Real-Time Stock Price Monitoring and Prediction,2026,Operations Research Forum,10.1007/s43069-026-00603-8,35,Indian market + multimodal/fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
