UID,Title,Authors,Year,Venue,DOI,Abstract,Keywords,Document_Type,Scopus,ScienceDirect,Elicit,Query_Hits,Master_ID,Evidence_Level,Screening_Decision,Exclusion_Code,Exclusion_Reason,Stock_Evidence,Prediction_Evidence,AI_Evidence,NonTarget_Evidence
doi:10.1002/eng2.70893,Audit‐Ready Machine Learning for Short‐Horizon Equity Prediction: A Dual‐Target Benchmark With Fold‐Isolated Preprocessing,A. Masum and Md. Abul Kalam Azad and Mirza Nadim Saad and Al-Amain and Mohammad Azam Khan and A. Y. Arafat,2026,Engineering Reports,10.1002/eng2.70893,,,Misc,No,No,Yes,EL07,M-0004,Title only,Exclude,E13,AI/ML forecasting present but direct stock/equity relevance not established,,prediction,machine learning,
doi:10.1002/for.3049,Volatility forecasting for stock market index based on complex network and hybrid deep learning model,Song Y.; Lei B.; Tang X.; Li C.,2024,Journal of Forecasting,10.1002/for.3049,"The existing literature on the volatility forecasting less considered the co-movement among stock markets from the spatial dimension. This paper builds the hybrid convolutional neural networks (CNNs)–gated recurrent unit (GRU) model for volatility forecasting under high frequency financial data based on transaction information and the topological characteristics constructed through the complex network of multi-market symbol patterns. The hybrid neural network CNN-GRU combines the advantages of CNN automatically extracting features for the input indicators and GRU processing long and short-term serially dependent features, which can better improve the forecasting accuracy. The empirical results show that with the integration of topological characteristics as the indicators based on complex network, the deep learning model has a significant improvement of one-step and multi-step volatility forecasting accuracy for the China's and the US stock markets. The research in this paper provides a complete index system from the spatial dimension and a more accurate and robust volatility forecasting method under the high-frequency financial data. © 2023 John Wiley & Sons, Ltd.",complex network; financial volatility forecasting; hybrid deep learning model; topological characteristic; Commerce; Convolutional neural networks; Financial markets; Forecasting; Learning systems; Recurrent neural networks; Topology; Convolutional neural network; Financial data; Financial volatility forecasting; Forecasting accuracy; High frequency HF; Hybrid deep learning model; Learning models; Spatial dimension; Topological characteristics; Volatility forecasting; Complex networks,Article,Yes,No,No,SC01,M-0005,Abstract available,Exclude,E12,Stock-market study focuses on volatility/risk rather than an eligible price/return/direction/trend forecasting target.,market index; stock market,forecasting; multi-step,cnn; convolutional; deep learning; gru; neural network; recurrent neural,volatility forecasting
doi:10.1002/for.3145,Time-varying risk preference and equity risk premium forecasting: The role of the disposition effect,Qiao K.; Xie H.,2024,Journal of Forecasting,10.1002/for.3145,"This study examines whether the disposition effect can explain time-varying risk preference and predict the equity risk premium. To do so, we propose an augmented general autoregressive conditional heteroskedasticity (GARCH)-in-Mean model unraveling the complex relationship between unrealized gains/losses, realized returns, and the equity risk premium. In our model, the risk aversion coefficient varies with the market state of unrealized gains/losses. Using data from the US stock markets, we show strong evidence that the disposition effect drives time-varying risk preference: The risk aversion coefficient is significantly positive during periods of unrealized gains, but insignificant during periods of unrealized losses. These findings reconcile the conflicting results of the risk-return trade-off in existing literature. Moreover, our model shows significant predictability of the equity risk premium, both in-sample and out-of-sample. Incorporating our model's predictions can yield substantial utility gains for a mean-variance investor. Our results indicate that the disposition effect leads to time-varying risk preference and thus induces equity risk premium predictability. © 2024 John Wiley & Sons Ltd.",prospect theory; the disposition effect; the equity risk premium; time-varying risk preference; unrealized gains/losses; Digital storage; Economic and social effects; Investments; Gain loss; Prospect theory; Risk preference; The disposition effect; The equity risk premium; Time-varying risk preference; Time-varying risks; Unrealized gain/loss; Forecasting,Article,Yes,No,No,SC06,M-0010,Abstract available,Exclude,E06,Non-financial time-series forecasting / no stock-equity context,,forecasting; predict,,
doi:10.1002/for.3212,Combining Volatility Forecasts of Duration-Dependent Markov-Switching Models,Turatti D.; Mendes F.; Mazzeu J.,2025,Journal of Forecasting,10.1002/for.3212,"Duration-dependent Markov-switching (DDMS) models require a user-specified duration hyperparameter, for which there is currently no established procedure for estimation or testing. As a result, an ad-hoc duration choice must be heuristically justified. This paper proposes a methodology for handling duration selection in DDMS models, with a focus on volatility forecasting. The main novelty lies in generating forecasts through model combination techniques. The idea is that the combined forecasts will be more robust to misspecification in selecting the duration structure, thus yielding more accurate forecasts. Additionally, the paper contributes to the literature by evaluating the out-of-sample volatility forecasting performance of DDMS models compared to benchmark conditional volatility models. Empirical analysis involves returns from three distinct asset classes: a cryptocurrency, a stock market index, and a foreign currency exchange rate. Various volatility proxies and robust loss functions are incorporated into our analysis. The results indicate that combined forecasts outperform individual models and, in some cases, are more accurate than GARCH and MS-GARCH models. Furthermore, models with fixed duration typically underperform relative to the simple GARCH model, often resulting in test rejections. © 2024 The Author(s). Journal of Forecasting published by John Wiley & Sons Ltd.",conditional volatility models; duration-dependent Markov-switching models; forecast combination; forecasting volatility; Prediction models; Combined forecasts; Conditional volatility model; Duration-dependent markov-switching model; Forecast combinations; Forecasting volatility; Garch modelling; Markov switching models; Volatility forecasting; Volatility forecasts; Volatility modeling; Markov processes,Article,Yes,No,No,SC06,M-0016,Abstract available,Exclude,E12,Stock-market study focuses on volatility/risk rather than an eligible price/return/direction/trend forecasting target.,market index; stock market,forecast; forecasting; prediction,,cryptocurrency; currency exchange; exchange rate; volatility forecasting
doi:10.1002/for.3264,Forecasting Volatility of Australian Stock Market Applying WTC-DCA-Informer Framework,Zeng H.; Wu R.; Abedin M.; Ahmed A.,2025,Journal of Forecasting,10.1002/for.3264,"This article proposed a novel hybrid framework, the WTC-DCA-Informer, for forecasting volatility in the Australian stock market. The findings indicated that (1) through a comprehensive comparison with various machine learning and deep learning models, the proposed WTC-DCA-Informer framework significantly outperformed traditional methods in terms of predictive performance. (2) Across different training set proportions, the WTC-DCA-Informer model demonstrated exceptional forecasting capabilities, achieving a coefficient of determination (R2) as high as 0.9216 and a mean absolute percentage error (MAPE) as low as 13.6947%. (3) The model exhibited strong adaptability and robustness in responding to significant market fluctuations and structural changes before and after the outbreak of COVID-19. This study offers a new perspective and tool for forecasting financial market volatility, with substantial theoretical and practical implications for enhancing the efficiency and stability of financial markets. © 2025 John Wiley & Sons Ltd.",Australian stock market; hybrid model; volatility forecasting; WTC-DCA-informer; Australian stock market; Comprehensive comparisons; Forecasting volatility; Hybrid framework; Hybrid model; Learning models; Machine-learning; Predictive performance; Volatility forecasting; WTC-DCA-informer; Prediction models,Article,Yes,No,No,SC01,M-0021,Abstract available,Exclude,E12,Stock-market study focuses on volatility/risk rather than an eligible price/return/direction/trend forecasting target.,stock market,forecasting; prediction,deep learning; hybrid model; machine learning,volatility forecasting
doi:10.1002/for.70009,Modeling Volatility Dynamics in Emerging Markets: Novel Evidence From Large Set of Predictors,Ghani M.; Qin Q.; Khan S.,2025,Journal of Forecasting,10.1002/for.70009,"This study examines the effectiveness of different predictors to forecast volatility of E7 emerging markets. First, we employ the economic uncertainty factors information to find out the economic impact on stock market volatility. Second, we used the geopolitical uncertainty factor information to explore the influence of geopolitical events on stock market volatility. Third, we investigate the climate risk factors to forecast the stock market volatility. Fourth, we examine the energy market–related uncertainty factors' impact on equity market volatility (EMV). The out-of-sample results show that among all predictors, economic policy uncertainty (EPU), EMV, geopolitical risk (GPR), and the environmental social and governance (ESG) index have the better forecasting ability to predict stock market volatility. Additionally, we find evidence during different business conditions, recession and expansion, and the most recent COVID-19 pandemic. The results are identical during recession periods and COVID-19 pandemic. Notably, these indices proved their superior predictive performance for volatility estimation. Finally, to ensure the robustness of our findings, we use different forecasting window method. Considering a range of uncertainty factors allows for a more comprehensive understanding of market fluctuations. These results suggest that policymakers and investors should consider the volatility dynamics of uncertainty factors in financial decision-making and policy realms. © 2025 John Wiley & Sons Ltd.",Covid-19 pandemic; emerging stock market; recession and expansion; uncertainty indices; Commerce; Decision making; Economic analysis; Electronic trading; Expansion; Forecasting; Investments; Covid-19 pandemic; Emerging markets; Emerging stock market; Equity markets; Recession and expansion; Stock market volatility; Uncertainty; Uncertainty factors; Uncertainty index; Volatility dynamics; Financial markets,Article,Yes,No,No,SC06,M-0025,Abstract available,Exclude,E12,Stock-market study focuses on volatility/risk rather than an eligible price/return/direction/trend forecasting target.,equity market; stock market,forecast; forecasting; predict,,forecast volatility
doi:10.1002/for.70011,The Information Content of Overnight Information for Volatility Forecasting: Evidence From China's Stock Market,Zhang Y.; Zhou L.; Liu Z.,2025,Journal of Forecasting,10.1002/for.70011,"Using overnight volatility as the proxy for overnight information, this paper models future Chinese stock market realized range–based volatility (RRV) within a class of heterogeneous autoregressive models augmented by this proxy. We confirm the important role of overnight information in volatility forecasting models with strong evidence from in-sample and out-of-sample analyses. Moreover, such forecasting improvement is considerable at the short-term prediction horizon but weakens as the prediction horizon extends. We conduct numerous robust tests to strengthen our findings, with alternative rolling window lengths, alternative loss criteria, and alternative volatility estimators. We also provide evidence that our forecasting model incorporating overnight volatility performs extremely well in volatility forecasting during times of market turbulence. © 2025 The Author(s). Journal of Forecasting published by John Wiley & Sons Ltd.",HAR models; overnight information; realized range–based volatility; volatility forecasting; Autoregressive moving average model; Commerce; Economic analysis; Electronic trading; Forecasting; Prediction models; Wind forecasting; China's Stock Markets; Forecasting models; HAR model; Information contents; Overnight information; Paper models; Prediction horizon; Range-based; Realized range–based volatility; Volatility forecasting; Financial markets,Article,Yes,No,No,SC06,M-0026,Abstract available,Exclude,E12,Stock-market study focuses on volatility/risk rather than an eligible price/return/direction/trend forecasting target.,stock market,forecasting; prediction,,volatility forecasting
doi:10.1002/for.70029,"Decomposing, Learning, and Predicting Realized Volatilities: A Comparison Analysis From the Global Stock Markets",Zhou W.; Luo D.,2026,Journal of Forecasting,10.1002/for.70029,"Accurate volatility prediction is essential for guiding investor decision-making, assessing financial stability, and managing risk. The efficacy of volatility prediction is an important issue that hinges on selecting relevant factors and applying robust analytical tools. Therefore, we propose a novel decomposition-learning method that integrates deep-learning techniques for volatility prediction. Specifically, the study employs convolutional neural networks (CNN) and long short-term memory (LSTM) networks to capture the nonlinear features in time series data. To enhance the model's predictive capabilities, we introduce singular spectrum analysis (SSA) and develop a feature contribution evaluation algorithm to identify and filter out the factors exerting the greatest influence. Building on this foundation, we construct the SSA-CNN-LSTM model that supports dual volatility prediction and evaluates each feature's contribution. We design and implement the framework and algorithms for this new approach, applying it to volatility prediction for major global stock indices. The results show that: (1) the trend, cycle, and perturbation components extracted from realized volatility outperform external factors in prediction; and (2) eliminating the features with the lowest contribution significantly enhances the model's predictive performance, thus providing financial markets with a more accurate volatility prediction tool. © 2025 John Wiley & Sons Ltd.",decomposition-learning method; dual prediction process; global stock market; realized volatility; SSA-CNN-LSTM model; Commerce; Decision making; Decomposition; Deep learning; Economic analysis; Electronic trading; Financial markets; Investments; Prediction models; Predictive analytics; Risk assessment; Risk management; Convolutional neural network; Decomposition-learning method; Dual prediction process; Global stock markets; Learning methods; Memory modeling; Prediction process; Realized volatility; Short term memory; Singular spectrum analysis; Singular spectrum analyze-convolutional neural network-long short-term memory model; Spectrum analysis,Article,Yes,No,No,SC01,M-0027,Abstract available,Exclude,E12,Stock-market study focuses on volatility/risk rather than an eligible price/return/direction/trend forecasting target.,stock market,prediction,cnn; convolutional; deep learning; lstm; neural network,volatility prediction
doi:10.1002/for.70082,A Fuzzy Framework for Realized Volatility Prediction: Empirical Evidence From Equity Markets,Iqbal S.; Lyócsa Š.,2026,Journal of Forecasting,10.1002/for.70082,"This study introduces a realized volatility fuzzy time series (RV-FTS) model that applies a fuzzy c-means clustering algorithm to estimate time-varying (Formula presented.) latent volatility states and their corresponding membership degrees. These memberships are used to construct a fuzzified volatility estimate as a weighted average of cluster centroids. The final volatility forecast is generated through an exponentially weighted moving average (EWMA) mechanism that combines the most recent fuzzified volatility estimate with the previous forecast, governed by the smoothing parameter (Formula presented.). The two hyperparameters are estimated using a rolling-window cross-validation approach. Our empirical study is based on volatility forecasts for 14 major stock market indices, covering more than 20 years of data. We predict 1- to 22-day-ahead volatility and compare the RV-FTS model with nine standard volatility model benchmarks: generalized autoregressive conditional heteroscedasticity (GARCH), ARFIMA, AR, heterogeneous autoregressive (HAR), EWMA, and random forest models, as well as conditional combination forecasts. We find that, in the short-term, day-ahead setting, the RV-FTS model tends to outperform the benchmark models under the mean squared error loss and performs similarly to the best models under the QLIKE loss. The conditional combination forecast shows that across all markets and multiple forecast horizons, there are periods when the weight of the RV-FTS model in the conditional combination of eight models reaches 50% or more. The volatility timing strategy also shows that the RV-FTS model leads to higher cost- and risk-adjusted returns compared with a benchmark volatility model. © 2025 The Author(s). Journal of Forecasting published by John Wiley & Sons Ltd.",forecast combination; fuzzy clustering; fuzzy time series; HAR; realized variance; volatility forecasting; Autoregressive moving average model; Clustering algorithms; Commerce; Economic analysis; Electronic trading; Forecasting; Mean square error; Time series; Auto-regressive; Clusterings; Forecast combinations; Fuzzy time series; Fuzzy time series model; Heterogeneous autoregressive; Realized variance; Realized volatility; Times series; Volatility forecasting; Financial markets; Fuzzy clustering,Article,Yes,No,No,SC06,M-0034,Abstract available,Exclude,E12,Stock-market study focuses on volatility/risk rather than an eligible price/return/direction/trend forecasting target.,stock market,forecast; forecasting; predict; prediction,random forest,volatility forecasting; volatility prediction
doi:10.1002/for.70103,Parametric Quantile Regression Using Mixture Distributions: Estimating Value at Risk and Expected Shortfall,Shi S.; Wang X.,2026,Journal of Forecasting,10.1002/for.70103,"Classical quantile regression has an asymmetric absolute error loss function with no derivative at the origin, making parameter estimation difficult. By setting the residual to follow an asymmetric Laplace distribution, quantile regression becomes an equivalent parametric model. However, the asymmetric Laplace distribution does not fit the distribution of asset returns, which is characterized by sharp peaks and heavy tails. To better fit the residuals, we design some general flexible error distributions via mixture distributions whose quantile at a given level is zero. We then propose a novel parametric dynamic quantile regression model using these distributions. It has a smooth loss function, which allows us to apply the maximum likelihood approach to estimate parameters easily. We demonstrate the validity of our model through a risk management application. It has the unique advantage of providing the analytical formulae for value at risk and expected shortfall over other risk measure models. An empirical study of stock markets in 25 countries shows that our model outperforms benchmark models in backtesting out-of-sample forecasts of value at risk and expected shortfall. © 2026 John Wiley & Sons Ltd.",expected shortfall; likelihood estimation; mixture distribution; quantile regression; value at risk; Laplace transforms; Parameter estimation; Regression analysis; Risk assessment; Risk management; Risk perception; Sampling; Value engineering; Absolute error; Asymmetric laplace distribution; Expected shortfall; Likelihood estimation; Loss functions; Mixture distributions; Parameters estimation; Parametric models; Quantile regression; Value at Risk; Maximum likelihood estimation,Article,Yes,No,No,SC06,M-0038,Abstract available,Exclude,E06,Non-financial time-series forecasting / no stock-equity context,,,,value at risk
