Master_ID,Title,Year,Venue,DOI,Working_Relevance_Tier,Relevance_Score,Elicit_Priority,Eligible_Target,Historical_Data,Technical_Indicators,Fundamental_Data,Financial_News,Social_Media,Sentiment,FinBERT_BERT_RoBERTa,LLM_FinGPT,Multimodal,Fusion,Transformer_Attention,LSTM_GRU,Optimization,Metaheuristic,XAI,Temporal_Validation,Indian_Market,Multi_Stock,Gap_Dimensions_Evidenced
M-0282,A multimodal deep learning framework for stock direction prediction with granger-based predictive explainability,2026,Journal of Economics and Finance,10.1007/s12197-026-09761-1,A_Direct_Methodological_Priority,32,High,Price; Direction/Movement,Yes,Yes,Unclear,Yes,Unclear,Yes,Yes,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Yes,Yes,Unclear,Technical_Indicators; Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; XAI; Temporal_Validation; Indian_Market
M-1729,Stock Market Prediction Using Node Transformer Architecture Integrated With BERT Sentiment Analysis,2026,IEEE Access,10.1109/access.2026.3691980,A_Direct_Methodological_Priority,32,High,Price; Direction/Movement,Yes,Yes,Yes,Unclear,Yes,Yes,Yes,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Technical_Indicators; Fundamental_Data; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Fusion; Transformer_Attention; Multi_Stock
M-2447,DASF-Net: A Multimodal Framework for Stock Price Forecasting with Diffusion-Based Graph Learning and Optimized Sentiment Fusion,2025,Journal of Risk and Financial Management,10.3390/jrfm18080417,A_Direct_Methodological_Priority,32,High,Price,Yes,Unclear,Yes,Yes,Unclear,Yes,Yes,Unclear,Yes,Yes,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Fundamental_Data; Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Fusion; Transformer_Attention; Optimization
M-0293,"A walk-forward multi-model approach to stock trading: leveraging sentiment, trend indicators, and transformer-based deep learning for next-day price forecasting",2026,International Journal of Machine Learning and Cybernetics,10.1007/s13042-026-03196-0,A_Direct_Methodological_Priority,31,High,Price; Direction/Movement,Yes,Yes,Unclear,Yes,Unclear,Yes,Yes,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Technical_Indicators; Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Fusion; Transformer_Attention; Temporal_Validation
M-0210,Intelligent Stock Price Prediction Model Research Integrating Multimodal Information and KAN Networks,2026,Computational Economics,10.1007/s10614-026-11314-x,A_Direct_Methodological_Priority,30,High,Price; Direction/Movement,Yes,Unclear,Unclear,Yes,Yes,Yes,Yes,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Fusion; Transformer_Attention; XAI
M-2045,Multimodal Stock Price Prediction Using a Hybrid GRU– Multi-Head Attention Model with Ensemble Sentiment and Technical Indicators,2026,SSRG International Journal of Electronics and Communication Engineering,10.14445/23488549/ijece-v13i5p119,A_Direct_Methodological_Priority,30,High,Price,Unclear,Yes,Unclear,Yes,Unclear,Yes,Yes,Unclear,Yes,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Technical_Indicators; Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Optimization; Indian_Market
M-2731,Sentiment-Weighted Fusion of Financial News and Technical Indicators for Short-Horizon Equity Trend Classification: An Evidence-Informed Research Framework,2026,International Journal of Computer Information Systems and Industrial Management Applications,10.70917/ijcisim-2026-2611,A_Direct_Methodological_Priority,30,High,Trend,Yes,Yes,Unclear,Yes,Unclear,Yes,Yes,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Technical_Indicators; Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Fusion; Transformer_Attention; XAI
M-0328,SentiVol-GA: a volatility-scaled genetic fusion of predictive models and financial sentiment for adaptive stock forecasting,2026,International Journal of Data Science and Analytics,10.1007/s41060-025-00983-w,A_Direct_Methodological_Priority,30,High,Price,Yes,Yes,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Yes,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Technical_Indicators; Sentiment; FinBERT_BERT_RoBERTa; Fusion; Optimization; Metaheuristic; XAI
M-1720,An Adaptive Modality Fusion Network for Stock Trend Prediction,2025,IEEE Access,10.1109/access.2025.3645089,A_Direct_Methodological_Priority,30,High,Trend,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Yes,Technical_Indicators; Sentiment; Multimodal; Fusion; Transformer_Attention; XAI; Temporal_Validation; Multi_Stock
M-0366,Explainable Multi-source AI Framework for Real-Time Stock Price Monitoring and Prediction,2026,Operations Research Forum,10.1007/s43069-026-00603-8,A_Direct_Methodological_Priority,29,High,Price,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Technical_Indicators; Sentiment; Multimodal; Fusion; Transformer_Attention; XAI; Indian_Market
